eng,ssw,source
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76).,Umtsetfosivivinyo weTinkantolo teSintfu [B 1B – 2017] (Libandla laVelonkhe – sigaba se-76).,May
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75).,Umtsetfosivivinyo weTebugebengu Lobentiwa ku-Inthanethi [B 6B – 2017] (Libandla laVelonkhe – sigaba se-75).,May
Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75).,Umtsetfosivivinyo weKuchibela teTinkampani teTikhumulo teTindizamshini [B 5B – 2018] (Libandla laVelonkhe – sigaba se-75).,May
Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75).,Umtsetfosivivinyo weKuchibela teKuhamba kweTindizamshini neTinsita teTinkampani teKukhomba Indlela [B 6B – 2018] (Libandla laVelonkhe – sigaba se-75).,May
Civil Union Amendment Bill [B 11B – 2018] (National Assembly – sec 75).,Umtsetfosivivinyo weKuchibela Temishado yeBulili Lobufananako [B 11B – 2018] (Libandla laVelonkhe – sigaba se-75).,May
Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76).,Hulumende waseKhaya: Umtsetfosivivinyo weKuchibela teTinhlaka taBomasipala [B 19B – 2018] (Libandla laVelonkhe – sigaba se-76).,May
National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76).,Umtsetfosivivinyo weKuchibela Tekugembula [B 27B – 2018] (Libandla laVelonkhe – sigaba se-76).,May
Science and Technology Laws Amendment Bill [B 42B  2018] (National Assembly – sec 75).,Umtsetfosivivinyo weKuchibela Imitsetfo yeteSayensi neTheknoloji [B 42B – 2018] (Libandla laVelonkhe – sigaba se-75).,May
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75).,Umtsetfosivivinyo weKuchibela Tindzaba teMajaji [B 13B – 2019] (Libandla laVelonkhe – sigaba se-75).,May
Division of Revenue Bill [B 3 – 2020] (National Assembly – sec 76).,Umtsetfosivivinyo weKwehlukaniswa kweTimali taHulumende [B 3 - 2020] (Libandla laVelonkhe – sigaba se-76).,May
INTERNATIONAL AGREEMENTS,TIVUMELWANE TEMAVE EMHLABA,May
"Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa (Tabled on 18 September 2019) (NA: Referred to Portfolio Committee on Higher Education, Science and Technology on 19 September 2019 - reported on 5 December 2019 – approved on 10 March 2020) (NCOP: Referred to Select Committee on Education and Technology, Sports, Arts and Culture on 19 November 2019).","Sivumelwane lesisemkhatsini waHulumende waseRiphabhliki yaseNingizimu Afrika nesikhungo i-International Centre for Genetic Engineering and Biotechnology (I-CGEB) mayelana neKusungulwa kwesikhungo i-International Centre for Genetic Engineering and Biotechnology Component (i-ICGEB) eRiphabhliki yaseNingizimu Afrika (Setfulwe mhla ti-18 Inyoni 2019) (Sandluliselwa eKomidini leLibandla laVelonkhe leTemfundvo Lephakeme, Isayensi neTheknoloji mhla ti-19 Inyoni 2019 – kubikwe mhla ti-6 Ingongoni 2019– savunywa mhla ti-10 Indlovulenkhulu 2020) (I-NCOP: Sendluliselwa kuLikomidi leMkhandlu weTifundza waVelonkhe leteMfundvo Lephakeme Netetheknoloji, Temidlalo, Buciko Nemasiko mhla ti-19 Lweti 2019).",May
"Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Tabled on 18 October 2019) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 22 October 2019) (NCOP: Referred to Select Committee on Security and Justice on 24 October 2019).","Kusayinwa kwesivumelwane lesisemkhatsini waHulumende weRiphabhliki yase-Indiya, Hulumende weRiphabliki yeNhlangano yeBhrazili kanye naHulumende weRiphabhliki yaseNingizimu Afrika lesimayelana neSikhwamamali se-IBSA seKwenta Buphuya neNdlela kube Ncono (sasayinwa mhla ti-17 Imphala 2017) (seTfulwa mhla ti-18 Imphala 2019) (e-NA: Sendluliselwe kuLikomidi Letebudlelwano Nekubambisana Kwemave Emhlaba mhla tinge-22 Imphala  2019) (e-NCOP: Sendluliselwa kuLikomdi leTekuvikeleka Nebulungiswa mhla tinge-24 Imphala 2019).",May
Treaty between the Government of the Republic of South Africa and the Government of the Republic of Bangladesh on Extradition (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 18 November 2019 – reported on 3 March 2020 - approved on 10 March 2020) (NCOP: Referred to Select Committee on Security and Justice on 30 January 2020 – reported on 17 March 2020).,Sivumelwane lesisemkhatsini waHulumende weRiphabhliki yaseNingizimu Afrika naHulumende weRiphabhliki yaseBangladesh lesimayelana lekulandvwa kwemuntfu eveni lakubo ayiswe eveni lente kulo bugebengu (Setfulwe mhla ti-14 Lweti 2019) (Libandla laVelonkhe: Sendluliselwe kuLikomidi leLibandla laVelonkhe leTebulungiswa Nekulungiswa Kwesimilo mhla ti-18 Lweti 2019 – Kubikwe mhla ti-3 Indlovulenkhulu 2020 - kwavunywa mhla ti-10 Indlovulenkhulu 2020) (e-NCOP: Sendluliselwa kuLikomdi leTekuvikeleka Nebulungiswa mhla tinge-30 Bhimbidvwane 2020 – kubikwe mhla ti-17 Indlovulenkhulu  2020).,May
Treaty between the Government of the Republic of South Africa and the Government of the Republic of Bangladesh on Mutual Legal Assistance in Criminal Matters (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 18 November 2019 – reported on 3 March 2020 - approved on 10 March 2020) (NCOP: Referred to Select Committee on Security and Justice on 30 January 2020 – reported on 17 March 2020).,Sivumelwane lesisemkhatsini waHulumende weRiphabhliki yaseNingizimu Afrika naHulumende weRiphabhliki yase Bangladesh lesimayelana neKusitana ngekweMtsetfo eTindzabeni teBugebengu (Setfulwe mhla ti-14 Lweti 2019) (e-NA: Sendluliselwe kuLikomidi leLibandla laVelonkhe leTebulungiswa Nekulungiswa Kwesimilo mhla ti-18 Lweti 2019 – Kubikwe mhla ti-3 Indlovulenkhulu 2020 - kwavunywa mhla ti-10 Indlovulenkhulu 2020) (e-NCOP: Sendluliselwa kuLikomdi leTekuvikeleka Nebulungiswa mhla tinge-30 Bhimbidvwane 2020 – kubikwe mhla ti-17 Indlovulenkhulu  2020).,May
Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Mineral Resources and Energy on 18 November 2019).,Sivumelwane lesisemkhatsini waHulumende waseRiphabhliki yaseNingizimu Afrika kanye neNhlangano yaseYurophu yeteMandla e-Athomi (i-EURATOM) seKubambisana eKusebentiseni ngeKuthula Emandla eNuzi (Setfulwe mhla ti-14 Lweti 2019) (Libandla laVelonkhe: Sendluliselwe kuLikomidi leLibandla laVelonkhe leteTimbiwa Nemandla mhla ti-18 Lweti 2019).,May
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Mutual Legal Assistance in Criminal Matters (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020).,Sivumelwane lesisemkhatsini waHulumende weRiphabhliki yaseNingizimu Afrika naHulumende wase-United Mexican States lesimayelana neKusitana ngekweMtsetfo eTindzabeni teBugebengu (Setfulwe mhla ti-5 Indlovulenkhulu 2020) (e-NA: Sendluliselwe kuLikomidi leLibandla laVelonkhe leTebulungiswa Nekulungiswa Kwesimilo mhla ti-9 Indlovulenkhulu 2020) (e-NCOP: Sendluliselwa kuLikomdi leTekuvikeleka Nebulungiswa mhla ti-10 Indlovulenkhulu 2020).,May
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Extradition (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020).,Sivumelwane lesisemkhatsini waHulumende weRiphabhliki yaseNingizimu Afrika naHulumende wase-United Mexican States lesimayelana lekulandvwa kwemuntfu eveni lakubo ayiswe eveni lente kulo bugebengu (Setfulwe mhla ti-5 Indlovulenkhulu 2020) (e-NA: Sendluliselwe kuLikomidi leLibandla laVelonkhe leTebulungiswa Nekulungiswa Kwesimilo mhla ti-9 Indlovulenkhulu 2020) (e-NCOP: Sendluliselwa kuLikomdi leTekuvikeleka Nebulungiswa mhla ti-10 Indlovulenkhulu 2020).,May
African Charter on Statistics (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Public Service and Administration on 9 March 2020).,Umculu wase-Afrika weTelubalobalo (Wetfulwe mhla ti-5 Indlovulenkhulu 2020) (e-NA: Sendluliselwe kuLikomidi leLibandla laVelonkhe leTemisebenti Yahulumende Nekuphatsa mhla ti-9 Indlovulenkhulu 2020),May
Treaty of Amity and Cooperation (TAC) in South East Asia (Tabled on 18 March 2020) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 26 March 2020).,Sivumelwane neBudlelwane loBucotfo neKubambisana (i-TAC) eNingizimu yeMphumalanga ye-Eshiya (Setfulwe mhla ti-18 Indlovulenkhulu 2020) (e-NA: Sendluliselwe kuLikomidi Letebudlelwano Nekubambisana Kwemave Emhlaba mhla tinge-26 Indlovulenkhulu  2020) (e-NCOP:,May
MOTIONS:,TISHUKUMISO:,June
"Draft resolution (Chief Whip of the Majority Party): That the House, notwithstanding Rule 27 on the election of temporary presiding officer, elects Mr Q R Dyantyi and Ms T Mahambehlala to act as temporary presiding officers in the chamber during hybrid sittings of the National Assembly, as and when necessary, for the duration of the 2020 annual session.","Sincumo lesiluhlaka (Sosiswebhu Lomkhulu weLicembu leliBusako): Kutsi leNdlu, nanoma-nje kuneMtsetfosimiso-27 lomayelana nekukhetfwa kwalabasetihlalweni besikhashana, ikhetse Mnu. Q R Dyantyi naMk. T Mahambehlala kutsi basebente njengalabasetihlalweni besikhashana eshemba ngetikhatsi tekuhlala ngekwehaybhridi (lokuhlanganisa incenye lekuchutjwa kumavidiyo nangekuchutjwa ngalokwetayelekile)  kweLibandla laVelonkhe, nakunesidzingo, kuyo yonkhe leseshini yemnyaka yanga-2020.",June
Draft resolution (Chief Whip of the Majority Party): That the House –,Sincumo lesiluhlaka (Sosiswebhu Lomkhulu weLicembu leliBusako): Kutsi leNdlu -,June
notes that –,yati kutsi –,June
on 25 July 2019 an Ad Hoc Committee to initiate and introduce legislation amending section 25 of the Constitution was established and mandated to complete its task and report to the House by 31 March 2020;,mhla tinge-25 Kholwane 2019 Likomidi Lesikhashana kutsi lisungule libuye futsi lingenise umtsetfo lochibela sigaba se-25 seMtsetfosisekelo lasungulwa laphindze lagunyatwa kutsi licedzele umsebenti walo liphindze futsi libike kuleNdlu kungakendluli mhla tinge-31 Indlovulenkhulu 2020;,June
"on 5 March 2020, the Assembly extended the deadline for reporting to 29 May 2020;","mhla ti-5 Indlovulenkhulu 2020, leLibandla lelula umncamulajucu wekubika lawuyisa kumhla tinge-29 Inkhwekhweti 2020;",June
the Ad Hoc Committee ceased to exist on 29 May 2020 before it could complete its mandate;,leLikomidi Lesikhashana laphelelwa sikhatsi sekuba khona mhla tinge-29 Inkhwekhweti 2020 ngembi kwekutsi liphotfule umsebenti walo;,June
"re-establishes the Ad Hoc to initiate and introduce legislation amending section 25 of the Constitution with the same composition and powers as its predecessor (Minutes of Proceedings, 25 July 2019, p 68);","iphindze isungule kabusha leLikomidi Lesikhashana kute kutsi lisungule liphindze futsi lingenise lomtsetfo lochibela sigaba se-25 seMtsetfosisekelo lakheke ngaleyo ndlela futsi libe nalawo mandla alelo laphambilini (Emaminitsi eTinchubo, tamhla tinge-25 Kholwane 2019, likh. 68);",June
instructs the Committee to incorporate in its work the proceedings and all the work of the previous committee up to and including 29 May 2020; and,icondzise leLikomidi lifake kulomsebenti walo tinchubo nawo wonkhe umsebenti walelikomidi laphambilini kute kube futsi kufake ekhatsi wamhla tinge-29 Inkhwekhweti 2020; kanye,June
sets the deadline by which the Committee is to report to 31 December 2020.,nekuncuma umncamulajucu wekutsi leLikomidi letfule umbiko mhla tinge-31 Ingongoni 2020.,June
ORDERS OF THE DAY:,TINHLOLO TELUSUKU:,June
Debate in terms of Rule 130: The scourge of gender-based violence against women and femicide – (Ms N V Mente).,Inkhulumomphikiswane ngekulandzela Umtsetfo we-130: Inhlupheko lematima kabi yebudlova bebulili lobucondziswe kubomake nekubulawa kwalabasikati – (Mk. N V Mente).,June
"Consideration of Report of Portfolio Committee on Justice and Correctional Services on Notices determining remuneration of Public Protector and Commissioners of South African Human Rights Commission with effect from 1 April 2019 (Announcement, Tablings and Committee Reports, 22 June 2020, p 15).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTebulungiswa neKulungiswa kweSimilo lomayelana neTatiso tekuncuma umholo weMvikeli weSive kanye naBokhomishina baseNingizimu Afrika beMalungelo eLuntfu kusukela mhla lu-01 Mabasa 2019 (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla tinge-22 Inhlaba 2020, likh. le-15).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition from the residents of Boksburg, Ekurhuleni metropolitan municipality, calling on the Assembly to investigate the numerous power outages (submitted by Mr M Waters, MP) and Petition from the residents of Germiston, Ekurhuleni metropolitan municipality calling on the Assembly to investigate the numerous power outages (submitted by Mr M Waters, MP)  (Announcement, Tablings and Committee Reports, 18 June 2020, p 167).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekubusa Ngekuhlanganyela Netendzabuko lomayelana neSicelosikhalo lesivela kutakhamuti taseBoksburg, kumasipala wasedolobenikati lase-Ekurhuleni, ticela Libandla laVelonkhe kutsi liphenye kucishelwa gezi kanengi (singeniswe nguMnu. W Waters, Lilunga lePhalamende) kanye nesicelosikhalo lesivela kutakhamuti taseGermiston, kumasipala wasedolobhenikati lase-Ekurhuleni ticela Libandla laVelonkhe kutsi liphenye kucishelwa gezi kanengi (singeniswe nguMnu M Waters, Lilunga lePhalamende) (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-18 Inhlaba 2020, likh. le-167).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition from the residents of Alberton, calling on the Assembly to investigate public participation and legislative compliance in the proposed housing development in Alberton (submitted by Mr D Bergman, MP) (Announcement, Tablings and Committee Reports, 18 June 2020, p 166).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekubusa Ngekubambisana Netendzabuko lomayelana neSicelosikhalo lesivela kutakhamuti tase-Alberton, ticela Libandla laVelonkhe kutsi liphenye kutimbandzakanya kwemmango kanye nekuhambisana nemtsetfo kulokutfutfukiswa kwekwakhiwa kwetindlu lokuhlongotiwe e-Alberton (singeniswe nguMnu. D Bergman, Lilunga lePhalamende)  (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-18 Inhlaba 2020, likh. le-166).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition relating to Glen Marais Sub-Station Fire Incident under City of Ekurhuleni (Announcement, Tablings and Committee Reports, 18 June 2020, p 163).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekubusa Ngekubambisana Netendzabuko lomayelana neSicelosikhalo lesiphatselene neSehlakalo seNgoti yeMlilo eSiteshini Lesincane eGlen Marais ngaphasi kweLidolobhakati lase-Ekurhuleni (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-18 Inhlaba 2020, likh. le-163).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition from the residents of Ward 37, Alberton North, Ekurhuleni, calling on the Assembly to investigate the illegal occupation of stand 1/1224 number 42, Second Avenue, Alberton North (submitted by Mr D Bergman, MP) (Announcement, Tablings and Committee Reports, 18 June 2020, p 160).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekubusa Ngekubambisana Netendzabuko lomayelana neSicelosikhalo lesivela kutakhamuti taseWadini le-37, eNyakatfo ye-Alberton,  
e-Ekurhuleni, ticela Libandla laVelonkhe kutsi liphenye kuhlala ngalokungekho emtsetfweni esitandini 1/1224 lesingunombolo 42, Second Avenue, eNyakatfo ye-Alberton (singeniswe nguMnu D Bergman, Lilunga lePhalamende) (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-18 Inhlaba 2020, likh. le-160).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition pertaining to Service Delivery in Nemallpius Ext 22, under City of Tshwane (Announcement, Tablings and Committee Reports, 18 June 2020, p 157).","9.	Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekubusa Ngekubambisana Netendzabuko lomayelana neSicelosikhalo lesiphatselene neKuletfwa Kwetinsita eNemallpius Ext 22, ngaphasi kweLidolobhakati laseTshwane (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-18 Inhlaba 2020, likh. le-157).",June
"Consideration of Report of Portfolio Committee on Basic Education on Petition from the residents of Dryharts village, calling on the Assembly to investigate the re-opening of the Molehabangwe Middle School (submitted by Mr I S Seitlholo, MP) (Announcements, Tablings and Committee Reports, 26 February 2020, p 38).","Kucutjungulwa kweMbiko weLokomidi leLibandla laVelonkhe leTemfundvo Lesisekelo mayelana neSikhalosicelo lesibuya kubahlali besigodzi saseDryharts, bacela Libandla kutsi liphenye ngekuphindza kuvulwa kweSikolwa iMolehabangwe Middle School, Singeniswe nguMnu. I S Seitlholo, Lilunga lePhalamende Timemetelo, Tetfulo neMibiko yeMakomidi, mhla tinge-26 Indlovulencane 2020, likh. le-38.",June
FURTHER BUSINESS,UMSEBENTI LOCHUBEKAKO,June
ORDERS OF THE DAY:,TINHLOLO TELUSUKU:,June
"Consideration of Report of Portfolio Committee on Police on unsolicited Petition on Re-enlistment of former Police forum members into Police Service (Mr M Qongqo) (Announcement, Tablings and Committee Reports, 26 June 2020, p 20).","Kucutjungulwa kweMbiko weLokomidi leLibandla laVelonkhe  leTemaphoyisa lomayelana neSicelosikhalo lesingakacelwa lemayelana nekuphindza futsi Kubhaliswe emalunga esikhatsi lesendlulile enkhundla yeteMaphoyisa kuLuphiko Lwetemisebenti Yemaphoyisa (Mnu. M Qongqo) (Simemetelo, Tetfulo neMibiko yeLikomidi, yamhla tinge-26 Inhlaba 2020, likh. 20).",June
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (submitted by Ms H Ismail, MP) and Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (submitted by Ms H Ismail, MP) (Announcement, Tablings and Committee Reports, 26 June 2020, p 15).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTemaphoyisa lomayelana neSicelosikhalo sebahlali baseWattville, eBenoni bacela Libandla kutsi lilungise kubhebhetseka kwebugebengu, lokufaka ekhatsi budlova lobucondziswe kubulili lobutsite nakubantfwana, nesidzingo sekutsi kube nesiteshi semaphoyisa kulendzawo yabo (singeniswe nguMk. H Ismail, Lilunga lePhalamende) kanye neSicelosikhalo sebahlali base-Actonville, eBenoni bacela Libandla kutsi liphenye ngelizinga leliphakeme lebugebengu, netidzakamiva, kuba khona kwesiteshi semaphoyisa lesingumahambanendlwana netimoto temaphoyisa kulendzawo yabo (singeniswe nguMk. H Ismail Lilunga lePhalamende) (Simemetelo, Tetfulo neMibiko yeMakomidi, yamhla tinge-26 Inhlaba 2020, likh. le-15).",June
"Consideration of Report of Portfolio Committee on Police on Petition of Mr Cornelius Basson (Announcement, Tablings and Committee Reports, 26 June 2020, p 10).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leMaphoyisa lomayelana  neSicelosikhalo seMnu. Cornelius Basson (Simemetelo, Tetfulo neMibiko yeLikomidi, yamhla tinge-31 Inhlaba 2020, likh. le-10).",June
"Consideration of Report of Portfolio Committee on Police on Application for Firearm Amnesty declaration (Announcement, Tablings and Committee Reports, 26 June 2020, p 9).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leteMaphoyisa lomayelana  neKufaka Sicelo Sashwele seTibhamu (Simemetelo, Tetfulo neMibiko yeLikomidi, yamhla tinge-26 Inhlaba 2020, likh. le-9).",June
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (submitted by Mr M Waters, MP) (Announcement, Tablings and Committee Reports, 26 June 2020, p 4).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTemaphoyisa lomayelana neSicelosikhalo sebahlali baseKempton Park, bacela Libandla kutsi liphenye ngekungeneli lokunemtselela lomubi kakhulu kwemaphoyisa nekweswelakala kwetimoto temaphoyisa esiteshini semaphoyisa eKempton Park (Mnu. M Waters) – (Likomidi leLibandla laVelonkhe leteMaphoyisa – Libandla laVelonkhe).",June
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s fourth quarter financial and non-financial performance for 2019/20 financial year (Announcement, Tablings and Committee Reports, 25 June 2020, p 5).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekuhwebelana neTimboni lomayelana neKusebenta kweTetimali teLitiko Letekuhwebelana Netimboni Netekutfutfukiswa kweTemnotfo ngeKota yeSitsatfu yeTetimali kanye neKungasebenti ngekweTimali kwemnyakatimali wanga-2019/20 (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla tinge-25 Inkhwekhweti 2020, likh. le-5).",June
"Consideration of Report of Portfolio Committee on Trade and Industry on Oversight visit to Gauteng (Announcement, Tablings and Committee Reports, 23 June 2020, p 17).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekuhwebelana Netimboni mayelana neLuvakasho lweTemsebenti lwekuya eGauteng (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla tinge-23 Inhlaba  2020, likh. 17).",June
"Consideration of Report of Portfolio Committee on Trade and Industry on Oversight visit to Western Cape (Announcement, Tablings and Committee Reports, 23 June 2020, p 4).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekuhwebelana Netimboni mayelana neLuvakasho lweTemsebenti lwekuya eNshonalanga Kapa (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla tinge-23 Inhlaba  2020, likh. 4).",June
"Consideration of Report of Joint Standing Committee on Defence on Letters from the President on Employment of South African National Defence Force in Mozambique Channel, Democratic Republic of Congo, to Wuhan City in Hubei Province of People’s Republic of China, and in support of South African Police Service and other State Departments (Announcement, Tablings and Committee Reports, 19 June 2020, p 3).","Kucutjungulwa kweMbiko weLikomidi leLimile Lelihlangene leTekuvikela lomayelana neTincwadzi letivela kuMengameli letimayelana neKutfunyelwa kweMbutfo weTekuvikela waseNingizimu Afrika eMozambique Channel, eDemocratic Republic of Congo, eDolobhenikati laseWuhan eSifundzeni saseHubei eRiphabhliki yeBantfu yaseShayina, kanye nekwesekela Temisebenti Yemaphoyisa aseNingizimu Afrika kanye nalamanye Ematiko eMbuso (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-19 Inhlaba 2020, likh. le-3).",June
"Consideration of Report of Portfolio Committee on Employment and Labour on Second Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcement, Tablings and Committee Reports, 18 June 2020, p 120).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekucashwa Nemisebenti lomayelana neMbiko weKota yeSibili lophatselene nekusebenta kweLitiko Letekucashwa Nemisebenti kanye netikhungo teTemisebenti macondzana nekuhlangabetana netinjongo telisubuciko langa-2019/20 (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-18 Inhlaba 2020, likh. le-120).",June
"Consideration of Report of Portfolio Committee on Employment and Labour on First Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcement, Tablings and Committee Reports, 18 June 2020, p 81).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekucashwa Nemisebenti lomayelana neMbiko weKota yeSibili lophatselene nekusebenta kweLitiko Letekucashwa Nemisebenti kanye netikhungo teTemisebenti macondzana nekuhlangabetana netinjongo telisubuciko langa-2019/20 (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-18 Inhlaba 2020, likh. le-81).",June
"Consideration of Report of Portfolio Committee on Employment and Labour on Third Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2018/19 (Announcement, Tablings and Committee Reports, 18 June 2020, p 12).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekucashwa Nemisebenti lomayelana neMbiko weKota yeSitsatfu lophatselene nekusebenta kweLitiko Letekucashwa Nemisebenti kanye netikhungo teTemisebenti macondzana nekuhlangabetana netinjongo telisubuciko langa-2019/19 (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-18 Inhlaba 2020, likh. le-12).",June
"Consideration of Report of Portfolio Committee on Employment and Labour on Oversight visit to Compensation Fund Head-Quarters (Announcement, Tablings and Committee Reports, 18 June 2020, p 3).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekucashwa Nemisebenti lomayelana neluvakasho lweteMsebenti weTekwengamela eNhlokohhovisi yeSikhwama seKuncemphetela (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-18 Inhlaba 2020, likh. le-3).",June
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Third Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcement, Tablings and Committee Reports, 19 May 2020, p 3).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekutfutsa weTekuhweba Netimboni lomayelana neKusebenta ngekweTetimali kweLitiko Letekuhweba Netimboni Netentfutfuko yeTemnotfo ngeKota yeSitsatfu yeTetimali kanye neKungasebenti ngekweTimali kwemnyakatimali wanga-2019/20 (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-19 Inkhwekhweti 2020, likh. le-3).",June
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on Oversight visit on pilot project for acquisition of office accommodation for South African Permanent Mission to United Nations and Consulate-General in New York, United States of America (Announcements, Tablings and Committee Reports, 16 March 2020, p 11).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leteBudlelwane beMave eMhlaba neKuhlanganyela mayelana neMsebenti weluvakasho lweKwengamela umklamo wekulinga kutfolakala indzawo yelihhovisi leMishini yeSiphelane kuMhlabuhlangene kanye neLincusajikelele eNew York, eMelika (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-16 Indlovulenkhulu 2020, likh. le-11).",June
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","Kutsatfwa kweSincumo mayelana neMbuto weMbiko weLikomidi leLibandla laVelonkhe leTekutfutsa weTemfundvo Lephakeme, Tesayensi neTheknoloji lomayelana nembiko weKota Yekucala yanga-2019/20 wetetimali nekusebenta kwekwetfula tinsita kweLitiko Letemfundvo Lephakeme Nekucecesha (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-05 Ingongoni 2019, likh. le-64).",June
