eng,tso,source
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (submitted by Ms H Ismail, MP) and Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (submitted by Ms H Ismail, MP) (Announcement, Tablings and Committee Reports, 26 June 2020, p 15).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Maphorisa mayelana na Phethixini yo suka eka vaaki va le Wattville, eBenoni lava rhambaka Huvo ya Rixaka ku languta vugevenga lebyi nga eku tlakukeni, ku katsa na madzolonga ya swa rimbewu na madozolonga eka vana, na ku laveka ka xitichi xa maphorisa endhawini ya ka vona (leyi tisiweke hi Manana H Ismail, Xirho xa Palamende) na Phethixini yo suka eka vaaki va le Actonville, eBenoni lava rhambaka Huvo ya Rixaka ku lavisisa xiyimo xa le henhla xa vugevenga na swidzidziharisi, vuphakeri bya switichitsongo swa maphorisa na mimovha ya maphorisa endhawini ya ka vona (leyi tisiweke hi Manana H Ismail, Xirho xa Palamende) (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 26 Khotavuxika 2020, papila ra 15).",June
"Consideration of Report of Portfolio Committee on Police on Petition of Mr Cornelius Basson (Announcement, Tablings and Committee Reports, 26 June 2020, p 10).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Maphorisa mayelana na Petition of Mr Cornelius Basson (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 26 Khotavuxika 2020, papila ra 10).",June
"Consideration of Report of Portfolio Committee on Police on Application for Firearm Amnesty declaration (Announcement, Tablings and Committee Reports, 26 June 2020, p 9).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Maphorisa mayelana na xitiviso xa Xikombelo xa Ndzivalelo wa Swibalesa (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 26 Khotavuxika 2020, papila ra 9).",June
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (submitted by Mr M Waters, MP) (Announcement, Tablings and Committee Reports, 26 June 2020, p 4).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Maphorisa mayelana na Phethixini yo suka eka vaaki va le Kempton Park lava rhamabaka Huvo ya Rixaka ku lavisisa ku kayivela ka vukona bya maphorisa hi ndlela leyi ringaneleke leswi nga heriki na ku pfumaleka ka mimovha exitichini xa maphorisa xa Kempton Park (leyi tisiweke hi Tatana M Waters, Xirho xa Palamende) (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 26 Khotavuxika 2020, papila ra 4).",June
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s fourth quarter financial and non-financial performance for 2019/20 financial year (Announcement, Tablings and Committee Reports, 25 June 2020, p 5).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Mabindzu na Vumaki mayelana na matirhelo ya Ndzawulo ya Mabindzu na Vumaki na Ndzawulo ya Nhluvukiso wa Ikhonomi ya timali na yo ka ya nga ri ya timali ya kotara ya vumune ya lembeximali ra 2019/20 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 25 Khotavuxika 2020, papila ra 5).",June
"Consideration of Report of Portfolio Committee on Trade and Industry on Oversight visit to Gauteng (Announcement, Tablings and Committee Reports, 23 June 2020, p 17).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Mabindzu na Vumaki mayelana na Rendzo ro  Hoxa tihlo ra le Gauteng (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 23 Khotavuxika 2020, papila ra 17).",June
"Consideration of Report of Portfolio Committee on Trade and Industry on Oversight visit to Western Cape (Announcement, Tablings and Committee Reports, 23 June 2020, p 4).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Mabindzu na Vumaki mayelana na Rendzo ro Hoxa tihlo ra le Western Cape (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 23 Khotavuxika 2020, papila ra 4).",June
"Consideration of Report of Joint Standing Committee on Defence on Letters from the President on Employment of South African National Defence Force in Mozambique Channel, Democratic Republic of Congo, to Wuhan City in Hubei Province of People’s Republic of China, and in support of South African Police Service and other State Departments (Announcement, Tablings and Committee Reports, 19 June 2020, p 3).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Nkarhi Hinkwawo ya Nhlanganelo hi mayelana na ku yimeleriwa ka Mapapila yo huma eka president ya Ku Thoriwa ka Masocha yo Sirhelela Afrika-Dzonga eka Chanele ya Mozambique, Rhiphabliki ra Xidemokirasi ra Congo, Dorobankulu ra Wuhan eka Xifundzankulu xa Hubei, eka Dorobankulu ra Wuhan Rhiphabliki ra Vanhu ra China na ku seketeriwa hi Vukorhokeri bya Maphorisa ya Afrika-Dzonga na Tindzawulo tin’wana ta Mfumo (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 19 Khotavuxika 2020, papila ra 3).",June
"Consideration of Report of Portfolio Committee on Employment and Labour on Second Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcement, Tablings and Committee Reports, 18 June 2020, p 120).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vuthori na Vatirhi hi mayelana na Xiviko xa Kotara hi Kotara xa Vumbirhi xa matirhelo ya Ndzawulo ya swa Vuthori na Vatirhi na mihlangano ya yona eka ku fikelela swikongomelonkulu swa qhinga hi 2019/20 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 18 Khotavuxika 2020, papila ra 120)",June
"Consideration of Report of Portfolio Committee on Employment and Labour on First Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcement, Tablings and Committee Reports, 18 June 2020, p 81).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vuthori na vatirhi hi mayelana na Xiviko xa Kotara hi Kotara xo Sungula xa matirhelo ya Ndzawulo ya  eka ku fikelela swikongomelonkulu swa qhinga hi 2019/20 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 18 Khotavuxika 2020, papila rap 81).",June
"Consideration of Report of Portfolio Committee on Employment and Labour on Third Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2018/19 (Announcement, Tablings and Committee Reports, 18 June 2020, p 12).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Ntholo na vatirhi hi mayelana na Xiviko xa Kotara hi Kotara xa Vunharhu xa matirhelo ya Ndzawulo ya swa Vuthori na Vatirhi na mihlangano ya yona eka ku fikelela swikongomelonkulu swa qhinga hi 2018/19 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 18 Khotavuxika 2020, papia ra 12).",June
"Consideration of Report of Portfolio Committee on Employment and Labour on Oversight visit to Compensation Fund Head-Quarters (Announcement, Tablings and Committee Reports, 18 June 2020, p 3).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vuthori na Vatirhi hi mayelana na rendzo ro Hoxa tihlo eka Hofisinkulu ya Nkwama wa Ndziriso (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 18 Khotavuxika 2020, papila 3).",June
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Third Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcement, Tablings and Committee Reports, 19 May 2020, p 3).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Bindzu na Vumaki hi mayelana na Ndzawulo ya swa Bindzu na Vumaki na matirhelo ya swa timali na yo ka ya nga ri ya timali ya kotara ya vunharhu ya Ndzawulo ya swa Nhluvukiso wa Ikhonomi eka lembeximali ra 2019/20 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 19 Mudyaxihi 2020, papila ra 3).",June
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on Oversight visit on pilot project for acquisition of office accommodation for South African Permanent Mission to United Nations and Consulate-General in New York, United States of America (Announcements, Tablings and Committee Reports, 16 March 2020, p 11).","CKu tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vuxaka bya Matiko Misava na Timhaka ta Ndhavuko hi mayelana na rendzo ro angamela phurojeke yo ringeta ya makumelo ya ndhawu ya hofisi ya Mixini wa Nkarhi Hinkwawo ya Afrika-Dzonga eka Nhlangano wa Matiko na Khonsuleti-Jenerali eNew York, United States of America (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 16 Nyenyankulu 2020, papila 11).",June
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","Xiboho hi mayelana na Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Dyondzo ya le Henhla, Sayense na Thekinoloji eka Swiviko hi mayelana na xiviko xa matirhelo ya swa timali xa kotara yo sungula na mphakelo wa vukorhokeri xa Dyondzo ya le Henhla na Vuleteri (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 5 N’wendzamhala 2019, papila ra 64).",June
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department Public Service and Administration, Entities and Public Service Commission (Announcements, Tablings and Committee Reports, 11 March 2020, p 30).","Ku tekeriwa enhlokweni ka Xiviko xa Komito ya Vuangameri ya Huvo ya Rixaka ya swa Vukorhokeri bya Mfumo na Vulawuri eka Matirhelo ya Kotara ya Vumbirhi na ya Vunharhu ya lembeximali ra 2019/20: Ndzawulo ya Vukorhokeri bya Mfumo na Vulawuri, Minhlangano na Khomixini ya Mintirho ya Mfumo (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 11 Nyenyankulu 2020, papilla ra  30).",June
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 23).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vukorhokeri bya Mfumo na Vulawuri eka Matirhelo ya Kotara ya Vumbirhi na ya Vunharhu ya lembeximali ra 2019/20: Tinhlayonhlayo ta Afrika-Dzonga (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 11 Nyenyankulu 2020, papila ra 23).",June
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 15).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vukorhokeri bya Mfumo na Vulawuri eka Matirhelo ya kotara ya Vumbirhi na ya Vunharhu ya lembe ximali ra 2019/20: Ndzawulo yo Pulana, ku Kambisisa Matirhelo no Pima na Burende ya Afrika-Dzonga (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 11 Nyenyankulu 2020, papila ra 15).",June
"Consideration of Report of Portfolio Committee on Basic Education on oversight visit to Capricorn and Sekhukhune Education Districts, Limpopo Province (Announcements, Tablings and Committee Reports, 26 February 2020, p 6).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti Vuangameri ya Huvo ya Rixaka ya swa Dyondzo ya le Hansi eka rendzo ro hoxa tihlo eka Swifundza swa Dyondzo swa Capricorn na Sekhukhune, Xifundzankulu xa Limpopo (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 26 Nyenyenyana 2020, papila ra 6).",June
"Consideration of Report of Portfolio Committee on Basic Education on Submission from the Griqua People’s Heritage on the lack of a Primary School (Announcements, Tablings and Committee Reports, 11 February 2020, p 5).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Dyondzo ya le Hansi eka Swibumabumelo swo huma eka Ndzhaka ya Vanhu va le Griqua eka ku pfumaleka ka Xikolo xa le Purayimari (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 11 Nyenyenyana 2020, papila ra 5).",June
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Announcements, Tablings and Committee Reports, 9 December 2019, p 20).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti Nkarhi Hinkwawo ya Nhlanganelo ya Mafambiselo ya Timali ta Palamende eka Matirhelo ya Palamende ya Riphabliki ra Afrika-Dzonga eka kotara yo sungula ya 2019/20 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 9 N’wendzamhala 2019, papila ra 20).",June
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2018/19 Annual Report (Announcements, Tablings and Committee Reports, 9 December 2019, p 5).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Nkarhi Hinkwawo ya Nhlanganelo ya Mafambiselo ya Timali ta Palamende eka Xiviko xa Palamende ya Riphabliki ra Afrika-Dzonga xa Lembe ra 2019/20 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 9 N’wendzamhala 2019, papila ra 5).",June
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Announcements, Tablings and Committee Reports, 5 December 2019, p 24).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Dyondzo ya le Henhla, Sayense na Thekinoloji eka Swiviko swa Vulawuri bya Nkwama wa Swikili wa Rixaka na Dyondzo ya Xiyenge na Vuleteri swa Lembe ra 2018/19 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 5 N’wendzamhala 2019, papila ra).",June
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 5 December 2019, p 4).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya Mabindzu na Vumaki ya swa Ndzawulo ya Mabindzu na Vumaki na ya Nhluvukiso wa Ikhonomi ya Kotara ya Vumbirhi xa Matirhelo ya Timali na yo ka ya nga ri ya Timali ya lembeximali ra 2019/20 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 5 N’wendzamhala 2019, papila ra 4).",June
"Consideration of Report of Standing Committee on Auditor-General on Integrated Annual Report of Auditor-General for financial year 2018/19 (Announcements, Tablings and Committee Reports, 4 December 2019, p 3).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Nkarhi Hinkwawo ya swa Mukambelatinkota eka Xiviko xa lembe lexi Hlanganisiweke xa Mukambelatinkotankulu xa lembe ximali ra 2018/19 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 4 N’wendzamhala 2019, papila ra 3).",June
MOTIONS (Notice given previously):,TIMOXINI (Xitiviso lexi nyikiweke eka nkarhi lowu nga hundza):,June
"See p 94-96 (Ms R C Adams, Mr S Ngcobo, Ms M S Khawula, Ms N G Adoons, Mr S L Ngcobo, Ms T Breedt, Ms T Mgweba, Mr W M Thring, Mr N L S Kwankwa, Mr M L Shelembe, Mrs E N Ntlangwini, Ms F A Masiko, Mr S H Mbuyane, Ms A S Hlongo, M.Gen O S Terblanche, Mr M G E Hendricks, Mr T S Mpanza, Mr P P Keetse, Ms R C Adams).","Vona papila ra 94-96 (Manana R C Adams, Tatana S Ngcobo, Manana M S Khawula, Manana N G Adoons, TatanaS L Ngcobo, Manana T Breedt, Manana T Mgweba, Tatana W M Thring, Tatana N L S Kwankwa, Tatana M L Shelembe, Manana E N Ntlangwini, Manana F A Masiko, Tatana S H Mbuyane, Manana A S Hlongo, Jeneralinkulu O S Terblanche, TatanaM G E Hendricks, Tatana T S Mpanza, Tatana P P Keetse, Manana R C Adams).",June
APPENDIXES,SWITANDZHAKU,June
PETITIONS REFERRED TO COMMITTEES,TIPHETHIXINI LETI HUNDZISERIWEKE EKA TIKOMITI,June
"Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Phethixini yo suka eka vaaki va le ka Dorobankulu ra le Ekurhuleni, lava rhambaka Huvo ya Rixaka ku lavisisa ku pfumaleka ka vukorhokeri byo rhwalela thyaka endhawini ya ka vona (Manana H Ismail) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Mafumelo ya Ntirhisano na Timhaka ta Ndhavuko – Huvo ya Rixaka).",June
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).",Phethixini yo suka vaaki va muganga wa le Kokomeng na miganga leyi akelaneke na wona lava rhamabaka Huvo ya Rixaka ku lavisisa na ku rhangisa emahlweni ku pfuriwa nakambe ka xitichi xa maphorisa xa le Kokomeng (Tatana I S Seitlholo) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Maphorisa - Huvo ya Rixaka).,June
"Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Phethixini yo suka eka vaaki va le Bredell, ePomona, Brentwood Park na le Glen Marais (wadi ya 25), Dorobankulu ra le Ekurhuleni, lava rhambaka Huvo ya Rixaka ku lavisisa ku wa ka mphakelo wo tshembheka wa gezi eka tindhawu ta ka vona (Manana H Ismail) – (Komiti ya Vuangameri ya huvo ya Rixaka ya swa Mafumelo ya Ntirhisano na Timhaka ta Ndhavuko – Huvo ya Rixaka).",June
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portfolio Committee on Human Settlements, Water and Sanitation – National Assembly).","Phethixini ya vaaki va le Actonville, eBenoni, lava rhambaka Huvo ya Rixaka leswaku yi lavisisa tihakelo ta le henhla swinene ta rhente leti hakeriwaka hi vahiri va tifulete ta khansele (Manana H Ismail) – (Komiti ya Vuangameri ya huvo ya Rixaka ya swa Matshamelo ya Vanhu, Mati na Mbhasiso – Huvo ya Rixaka).",June
BILLS INTRODUCED AND TO BE REFERRED TO COMMITTEES,MILAWUMBISI LEYI HUNDZISERIWEKE EKA NDLELA YO FUNGHA YA NHLANGANELO (JTM),June
Division of Revenue Amendment Bill [B 9 - 2020] (National Assembly – proposed sec 76).,Nawumbisi wo Cinca Maavelo ya Timali ta Tiko wa [B 9 - 2020] (Huvo ya Rixaka – xiyenge xa 76 lexi ringanyetiweke).,June
Adjustments Appropriation Bill [B 10 - 2020] (National Assembly – proposed sec 77).,Nawumbisi wa Macincelo ya Mikavelo ya Timali ta Tiko wa [B 10 - 2020] (Huvo ya Rixaka – xiyenge xa 77 lexi ringanyetiweke).,June
BILLS REFERRED TO JOINT TAGGING MECHANISM (JTM),MILAWUMBISI LEYI HUNDZISERIWEKE EKA NDLELA YO FUNGHA YA NHLANGANELO (JTM),June
Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – proposed sec 76).,Nawumbisi wo Cinca Ku Antswisiwa ka Timfanelo ta Vun’wini bya Misava wa [B 6 – 2020] (Huvo ya Rixaka – xiyenge xa 76 lexi ringanyetiweke).,June
Division of Revenue Amendment Bill [B 9 - 2020] (National Assembly – proposed sec 76).,Nawumbisi wo Cinca Maavelo ya Mali ya Tiko wa [B 9 – 2020] (Huvo ya Rixaka–xiyenge xa 76 lexi ringanyetiweke),June
Adjustments Appropriation Bill [B 10 - 2020] (National Assembly – proposed sec 77).,Nawumbisi wa Macincelo ya Mikavelo wa [B 10 - 2020] (Huvo ya Rixaka – xiyenge xa 77 lexi ringanyetiweke).,June
Disaster Management Tax Relief Bill [B 11 - 2020] (National Assembly – proposed sec 77).,Nawumbisi wa Xibalo xa Mphalalo xa Malawulelo ya Timhangu wa [B 11 – 2020] (Huvo ya Rixaka –xiyenge xa 77 lexi ringanyetiweke),June
Disaster Management Tax Relief Administration Bill [B 12 - 2020] (National Assembly – proposed sec 75).,Nawumbisi wa Xibalo xa Mphalalo xa Malawulelo ya Timhangu wa [B 12 – 2020] (Huvo ya Rixaka –xiyenge xa 75 lexi ringanyetiweke),June
BILLS REFERRED TO COMMITTEES,MILAWUMBISI LEYI HUNDZISERIWEKE EKA TIKOMITI,June
"Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 7) – (Portfolio Committee on Justice and Correctional Services – National Assembly).","Nawumbisi wa Ku Sirheleriwa ka Mahungu ya Tiko wa [B 6H – 2010] (Huvo ya Rixaka– xiyenge xa 75) na ku kanakana ka Presidente hi mayelana mfambelano na Vumbiwa tanihilaha wu yisiweke hakona eka yena (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 12 JKhotavuxika 2020, papila ra 7) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vululami na Vukorhokeri bya Makhotso– Huvo ya Rixaka).",June
"Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 2) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","Nawumbisi wo Cinca Swimakiwa swa Byalwa wa [B 10B – 2016] (Huvo ya Rixaka– xiyenge xa 75) na ku kanakana ka Presidente hi mayelana na mfambelano na Vumbiwa tanihilaha wu yisiweke hakona eka yena (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 12 JKhotavuxika 2020, papila ra 2) - (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vurimi, Mpfuxeto wa Misava na Nhluvukiso wa Tindhawu ta le Matikoxikaya – Huvo ya Rixaka).",June
"Performers’ Protection Amendment Bill [B 24B - 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 22 June 2020, p 2) – (Portfolio Committee on Trade and Industry – National Assembly).","Nawumbisi wo Cinca Ku Sirheleriwa ka Vayimbeleri wa [B24B - 2016] (Huvo ya Rixaka–xiyenge xa 75).	 [B 24B - 2016] (Huvo ya Rixaka– xiyenge xa 75) na ku kanakana ka Presidente hi mayelana mfambelano wa Nawumbisi na Vumbiwa tanihilaha wu yisiweke hakona eka yena (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 22 JKhotavuxika 2020, papila ra 2) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Bindzu na Vumaki – Huvo ya Rixaka).",June
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Nawumbisi wa Tikhoto ta Ndhavuko wa [B 1B – 2017] (Huvo ya Rixaka – xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vusirheleri na Vululami – Huvo ya Rixaka ya Swifundzankulu).,June
"Copyright Amendment Bill [B 13B - 2017] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 22 June 2020, p 2) – (Portfolio Committee Trade and Industry – National Assembly).","Nawumbisi wo Cinca Nsirhelelo wa Matsalwa wa [B13B - 2017] (Huvo ya Rixaka–xiyenge xa 75) na ku kanakana ka Presidente hi mayelana mfambelano wa Nawumbisi na Vumbiwa tanihilaha wu yisiweke hakona eka yena (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 22 JKhotavuxika 2020, papila ra 2) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Bindzu na Vumaki – Huvo ya Rixaka).",June
Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Nawumbisi wa Xikimu xa Mbuyelo wa Tinghozi ta le Magondzweni wa [B 17B – 2017] (Huvo ya Rixaka – xiyenge xa 75) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vutleketli – Huvo ya Rixaka).,June
International Crimes Bill [B 37 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Nawumbisi wa Vugevenga bya Matiko ya Misava wa [B 37 – 2017] (Huvo ya Rixaka – xiyenge xa 75) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vululami na Vukorhokeri bya Makhotso – Huvo ya Rixaka).,June
"Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Nawumbisi wo Cinca timhaka ta Khamphani ya Switichi swa Swihahampfhuka wa [B 5B – 2018] (|Huvo ya Rixaka– xiyenge xa 75)) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vutleketli, Mafambiselo ya Vukorhokeri bya Mfumo, Mitirho ya Mfumo na Switirhisiwankulu – Huvo ya Rixaka ya Swifundzankulu).",June
"Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Nawumbisi wo Cinca timhaka ta Khamphani ya Vukorhokeri bya Ntlimbano wa le Moyeni na Vutluti wa [B 6B – 2018] (Huvo ya Rixaka – xiyenge xa 75) - (Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vutleketli, Mafambiselo ya Vukorhokeri bya Mfumo, Mitirho ya Mfumo na Switirhisiwankulu – Huvo ya Rixaka ya Swifundzankulu).",June
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76) – (Select Committee on Health and Social Services – National Council of Provinces).,Nawumbisi wo Cinca swa Mpfuneto wa Vaaki wa [B 8B - 2018] (Huvo ya Rixaka – xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka  ya Swifundzankulu ya swa Rihanyu na Vukorhokeri bya Vaaki – Huvo ya Rixaka ya Swifundzankulu).,June
Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Nawumbisi wo Sivela no Herisa Vugevenga bya Rivengo na Mbulavulo wa Rivengo wa [B 9 – 2018] (Huvo ya Rixaka– xiyenge xa 75) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vululami na Vukorhokeri bya Makhotso – Huvo ya Rixaka).,June
State Liability Amendment Bill [B 16 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Nawumbisi wo Cinca Vutihlamuleri bya Mfumo wa [B 16 – 2018] (Huvo ya Rixaka– xiyenge xa 75) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vululami na Vukorhokeri bya Makhotso – Huvo ya Rixaka).,June
