eng,ven,source
"Consideration of Report of Portfolio Committee on Basic Education on Submission from the Griqua People’s Heritage on the lack of a Primary School (Announcements, Tablings and Committee Reports, 11 February 2020, p 5).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Pfunzo ya Mutheo nga ha Ḽikumedzwa ḽi bvaho kha Vhufa ha Vhathu vha Griqua kha u sa vha hone ha Tshikolo tsha Phuraimari (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 11 Luhuhi 2020, s ḽa 5).",June
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Announcements, Tablings and Committee Reports, 9 December 2019, p 20).","22. U vhalululwa ha Muvhigo wa Komiti ya Tshoṱhe yo Ṱanganelaho nga ha Ndangulo ya Masheleni a Phalamennde kha Mashumele a Phalamennde ya Riphabuḽiki ya Afrika Tshipembe kha kotara ya u thoma ya 2019/20 (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 9 Nyendavhusiku 2019, s ḽa 20).",June
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2018/19 Annual Report (Announcements, Tablings and Committee Reports, 9 December 2019, p 5).","23. U vhalululwa ha Muvhigo wa Komiti ya Tshoṱhe yo Ṱanganelaho nga ha Ndangulo ya Masheleni a Phalamennde kha Muvhigo wa Ṅwaha wa 2018/19 wa Phalamennde ya Riphabuḽiki ya Afrika Tshipembe (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 9 Nyendavhusiku 2019, s ḽa 5).",June
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Announcements, Tablings and Committee Reports, 5 December 2019, p 24).","24. U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Pfunzo ya Nṱha, Saintsi na Thekhinoḽodzhi kha Mivhigo ya Ṅwaha wa 2018/19 wa Tshikwama tsha Zwikili tsha Lushaka na Maanḓalanga a Sekhithara ya Pfunzo na Vhupfumbudzi (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 5 Nyendavhusiku 2019, s ḽa 24).",June
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 5 December 2019, p 4).","25. U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Mbambadzo na Nḓowetshumo kha Mihasho ya Mbambadzo na Nḓowetshumo na kwa Mveledziso ya Ikonomi na Kushumele Ku si kwa Masheleni na zwa Masheleni kha Kotara ya Vhuvhili ya ṅwaha wa muvhalelano wa 2019/20 (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 5 Nyendavhusiku 2019, s ḽa 4).",June
"Consideration of Report of Standing Committee on Auditor-General on Integrated Annual Report of Auditor-General for financial year 2018/19 (Announcements, Tablings and Committee Reports, 4 December 2019, p 3).","26. U vhalululwa ha Muvhigo wa Komiti nga ha Muoditha Dzhenerala kha Muvhigo wa Ṅwaha wo Ṱanganelaho wa Muoditha Dzhenerala wa ṅwaha wa muvhalelano wa 2018/19 (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 4 Nyendavhusiku 2019, s ḽa 3).",June
MOTIONS (Notice given previously):,MAKUMEDZWA (Nḓivhadzo yo ṋetshedzwaho tshifhinga tsho fhiraho):,June
"See p 94-96 (Ms R C Adams, Mr S Ngcobo, Ms M S Khawula, Ms N G Adoons, Mr S L Ngcobo, Ms T Breedt, Ms T Mgweba, Mr W M Thring, Mr N L S Kwankwa, Mr M L Shelembe, Mrs E N Ntlangwini, Ms F A Masiko, Mr S H Mbuyane, Ms A S Hlongo, M.Gen O S Terblanche, Mr M G E Hendricks, Mr T S Mpanza, Mr P P Keetse, Ms R C Adams).","Kha vha sedze mas a 94-96 (Vho R C Adams, Vho S Ngcobo, Vho M S Khawula, Vho N G Adoons, Vho S L Ngcobo, Vho T Breedt, Vho T Mgweba, Vho W M Thring, Vho N L S Kwankwa, Vho M L Shelembe, Vho E N Ntlangwini, Vho F A Masiko, Vho S H Mbuyane, Vho A S Hlongo, M.Gen O S Terblanche, Vho M G E Hendricks, Vho T S Mpanza, Vho P P Keetse).",June
APPENDIXES,ṰHUMETSHEDZO,June
PETITIONS REFERRED TO COMMITTEES,PHETHISHINI DZO RUMELWAHO KHA DZIKOMITI,June
"Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Phethishini i bvaho kha vhadzuli vha Ḓorobo khulwane ya Ekurhuleni, vha itaho khuwelelo kha Buthano uri ḽi ṱoḓisise nga tshumelo dza u bvisa mashika dzi dzulelaho u ṱahela vhuponi uho (Vho H Ismail) - (Komiti ya Phothifoḽio nga ha Vhuvhusi ha Vhushumisani na zwa Sialala – Buthano ḽa Lushaka).",June
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).","Phethishini i bvaho kha vhadzuli vha Kokomeng na zwisi zwa nga tsini, vha itaho khuwelelo kha Buthano uri ḽi ṱoḓisise na u dzhia sa zwa ndeme u vulwa hafhu ha tshiṱitshi tsha mapholisa tsha Kokomeng (Vho I S Seitlholo) – (Komiti ya Phothifoḽio nga ha Mapholisa – Buthano ḽa Lushaka).",June
"Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Phethishini i bvaho kha vhadzuli vha Bredell, Pomona, Brentwood Park na Glen Marais (wadi ya 25), Ḓorobo Khulwane ya Ekurhuleni, vha itaho khuwelelo kha Buthano uri ḽi ṱoḓisise nga u wa ha nḓisedzo i fulufhedzeaho ya muḓagasi vhuponi havho (Vho H Ismail) – (Komiti ya Phothifoḽio nga ha Vhuvhusi ha Vhushumisani na zwa Sialala – Buthano ḽa Lushaka).",June
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portfolio Committee on Human Settlements, Water and Sanitation – National Assembly).","Phethishini i bvaho kha vhadzuli vha Actonville, Benoni vha itaho   khuwelelo kha Buthano uri ḽi ṱoḓisise nga mbadelo dza nṱhesa dza rennde dzo badelwaho nga vhahiri vha fuḽethe dza khoro (Vho H Ismail) – (Komiti ya Phothifoḽio nga ha Vhudzulo ha Vhathu, Maḓi na Tshampungane – Buthano ḽa Lushaka).",June
BILLS INTRODUCED AND TO BE REFERRED TO COMMITTEES,MILAYOTIBE YO ḒIVHADZWA NA U ḒO FHIRISELWA KHA DZIKOMITI,June
Division of Revenue Amendment Bill [B 9 - 2020] (National Assembly – proposed sec 76).,Mulayotibe wa Khwiniso wa Khethekanyo ya Mbuelo [B 9 – 2020] (Buthano ḽa Lushaka – khethekanyo ya 76 yo dzinginywaho).,June
Adjustments Appropriation Bill [B 10 - 2020] (National Assembly – proposed sec 77).,– Mulayotibe wa Mukovho wo Dzudzanyiwaho [B 10 – 2020] (Buthano ḽa Lushaka – khethekanyo ya 77 yo dzinginywaho).,June
BILLS REFERRED TO JOINT TAGGING MECHANISM (JTM),MILAYOTIBE YO RUMELWAHO KHA KOMITI YA U KHETHEKANYA YO ṰANGANELAHO (JTM),June
Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – proposed sec 76).,U Khwiniswa ha Mulayotibe wa Khwiniso ya Pfanelo dza Vhuṋe ha Mavu [B 6 - 2020] (Buthano ḽa Lushaka – khet ya 76 yo dzinginywaho).,June
Division of Revenue Amendment Bill [B 9 - 2020] (National Assembly – proposed sec 76).,Mulayotibe wa Khwiniso wa Khethekanyo ya Mbuelo [B 9 – 2020] (Buthano ḽa Lushaka – khethekanyo ya 76 yo dzinginywaho).,June
Adjustments Appropriation Bill [B 10 - 2020] (National Assembly – proposed sec 77).,Mulayotibe wa Mukovho wo Dzudzanyiwaho [B 10 – 2020] (Buthano ḽa Lushaka – khethekanyo ya 77 yo dzinginywaho).,June
Disaster Management Tax Relief Bill [B 11 - 2020] (National Assembly – proposed sec 77).,Mulayotibe wa Muthelo wa Thusedzo ya Ndangulo ya Tshiwo [B 11 – 2020 Buthano ḽa Lushaka – khethekanyo ya 77 yo dzinginywaho).,June
Disaster Management Tax Relief Administration Bill [B 12 - 2020] (National Assembly – proposed sec 75).,Mulayotibe wa Muthelo wa Thusedzo ya Ndaulo ya Tshiwo [B 12 – 2020] (Buthano ḽa Lushaka – khethekanyo ya 75 yo dzinginywaho).,June
BILLS REFERRED TO COMMITTEES,MILAYOTIBE YO FHIRISELWAHO KHA DZIKOMITI,June
"Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 7) – (Portfolio Committee on Justice and Correctional Services – National Assembly).","Mulayotibe wa Tsireledzo ya Mafhungo a Muvhuso [B 6H – 2010] (Buthano ḽa Lushaka – khet ya 75) na u sa fushea ha Muphuresidennde nga ha u vha mulayoni ha Mulayotibe sa zwe wa iswa khavho (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 12 Fulwi 2020, s ḽa 7) – (Komiti ya Phothifoḽio nga ha Vhulamukanyi na Tshumelo dza Vhululamisi – Buthano ḽa Lushaka).",June
"Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 2) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","Mulayotibe wa Khwiniso ya Zwibveledzwa zwa Mahalwa [B 10B – 2016] (Buthano ḽa Lushaka – khet ya 75) na u sa fushea ha Muphuresidennde nga ha u vha mulayoni ha Mulayotibe sa zwe wa iswa khavho (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 12 Fulwi 2020, s ḽa 2) – (Komiti ya Phothifoḽio nga ha Vhulimi, Mbuedzedzo ya Mavu na Mveledziso ya Mahayani – Buthano ḽa Lushaka).",June
"Performers’ Protection Amendment Bill [B 24B - 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 22 June 2020, p 2) – (Portfolio Committee on Trade and Industry – National Assembly).","Mulayotibe wa Khwiniso ya Tsireledzo ya Vhamvumvusi [B24B - 2016] (Buthano ḽa Lushaka – khet ya 75) na na u sa fushea ha Muphuresidennde nga ha u vha mulayoni ha Mulayotibe sa zwe wa iswa khavho (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 22 Fulwi 2020, s ḽa 2) – (Komiti ya Phothifoḽio nga ha Mbambadzo na Nḓowetshumo – Buthano ḽa Lushaka).",June
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Mulayotibe wa Khothe dza Sialala [B 1B – 2017] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya NCOP nga ha Tsireledzo na Vhulamukanyi – Khoro ya Lushaka ya Mavundu).,June
"Copyright Amendment Bill [B 13B - 2017] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 22 June 2020, p 2) – (Portfolio Committee Trade and Industry – National Assembly).","Mulayotibe wa Khwiniso ya Nzivhanyedziso [B 13B - 2017] (Buthano ḽa Lushaka – khet ya 75) na na u sa fushea ha Muphuresidennde nga ha u vha mulayoni ha Mulayotibe sa zwe wa iswa khavho (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 22 Fulwi 2020, s ḽa 2) – (Komiti ya Phothifoḽio nga ha Mbambadzo na Nḓowetshumo – Buthano ḽa Lushaka)",June
Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Mulayotibe wa Tshikimu tsha Mbuelo dza Khombo dza Badani [B 17B – 2017] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya Phothifoḽio nga ha Vhuendi – Buthano ḽa Lushaka).,June
International Crimes Bill [B 37 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Mulayotibe wa Vhugevhenga ha Dzitshaka [B 37 – 2017] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya Phothifoḽio nga ha Vhulamukanyi na Tshumelo dza Ndulamiso – Buthano ḽa Lushaka).,June
"Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Mulayotibe wa Khwiniso ya Khamphani ya Vhukavhamabufho [B 5B – 2018] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya NCOP nga ha Vhuendi, Tshumelo ya Tshitshavha na Vhulanguli, Mishumo ya Tshitshavha na Themamveledziso – Khoro ya Lushaka ya Mavundu).",June
"Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Mulayotibe wa Khwiniso ya Khamphani ya Tshumelo dza Vhuendi ha Muyani na u Wana Nḓila [B 6B – 2018] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya NCOP nga ha Vhuendi, Tshumelo ya Tshitshavha na Vhulanguli, Mishumo ya Tshitshavha na Themamveledziso – Khoro ya Lushaka ya Mavundu).",June
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76) – (Select Committee on Health and Social Services – National Council of Provinces).,Mulayotibe wa Khwiniso ya u Ṱhaḓula ha Matshilisano [B 8B – 2018] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya NCOP nga ha Mutakalo na Tshumelo dza Matshilisano – Khoro ya Lushaka ya Mavundu).,June
Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Mulayotibe wa Thivhelo ya Vhugevhenga ha Vengo na Tshipitshi tsho Ḓalaho Vengo [B 9 – 2018] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya Phothifoḽio nga ha Vhulamukanyi na Tshumelo dza Vhululamisi – Buthano ḽa Lushaka).,June
State Liability Amendment Bill [B 16 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Mulayotibe wa Khwiniso ya Vhuḓifhinduleli ha Muvhuso [B 16 – 2018] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya Phothifoḽio nga ha Vhulamukanyi na Tshumelo dza Ndulamiso – Buthano ḽa Lushaka).,June
"Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76) – (Select Committee on Cooperative Governance and Traditional Affairs, Water and Sanitation and Human Settlements – National Council of Provinces).","Muvhuso Wapo: Mulayotibe wa Khwiniso ya Zwiṱirakhitsha zwa Masipala [B 19B – 2018] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya NCOP nga ha Vhuvhusi ha Vhushumisani na zwa Sialala, Maḓi na Tshampungane na Vhudzulo ha Vhathu – Khoro ya Lushaka ya Mavundu).",June
South African Reserve Bank Bill [B 26 – 2018] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Mulayotibe wa Bannga ya Lushaka ya Afrika Tshipembe [B 26 – 2018] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya Tshoṱhe nga ha Masheleni – Buthano ḽa Lushaka).,June
"National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76) – (Select Committee on Trade and Industry, Economic Development, Small Business Development, Tourism, Labour and Employment – National Council of Provinces).","Mulayotibe wa Khwiniso ya u Gembula ha Lushaka [B 27B – 2018] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya NCOP nga ha Mbambadzo na Nḓowetshumo, Mveledziso ya Ikonomi, Mveledziso ya Mabindu Maṱuku, Vhuendelamashango, U tholiwa na Mishumo – Khoro ya Lushaka ya Mavundu).",June
National Health Amendment Bill [B 29 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,Mulayotibe wa Khwiniso ya Mutakalo wa Lushaka [B 29 – 2018] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya Phothifoḽio nga ha Mutakalo – Buthano ḽa Lushaka).,June
Public Finance Management Amendment Bill [B 41  2018] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Mulayotibe wa Khwiniso ya Ndangulo ya zwa Masheleni a Tshitshavha [B 41  2018] (Komiti ya Tshoṱhe nga ha Masheleni – Buthano ḽa Lushaka).,June
Civil Aviation Amendment Bill [B 44 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Mulayotibe wa Khwiniso ya Ḓivhavhufhufhi ha Vhapo [B 44 – 2018] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya Phothifoḽio nga ha Vhuendi – Buthano ḽa Lushaka).,June
Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (National Assembly – sec 76) – (Portfolio Committee Cooperative Government and Traditional Affairs – National Assembly).,Muvhuso Wapo: Mulayotibe wa Khwiniso ya Sisteme dza Masipala [B 2 – 2019] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya Phothifoḽio nga Muvhuso wa Vhushumisani na zwa Sialala – Buthano ḽa Lushaka).,June
National Health Insurance Bill [B 11 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,Mulayotibe wa Ndindakhombo ya Mutakalo wa Lushaka [B 11 - 2019] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya Phothifoḽio nga ha Mutakalo – Buthano ḽa Lushaka).,June
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Mulayotibe wa Khwiniso Nṱha ha Mbingano dza Sialala [B 12 - 2019] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya NCOP nga Tsireledzo na Vhulamukanyi – Khoro ya Lushaka ya Mavundu).,June
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice - National Council of Provinces).,Mulayotibe wa Khwiniso ya Mafhungo a Khaṱhulo [B 13B - 2019] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya NCOP nga ha Tsireledzo na Vhulamukanyi – Khoro ya Lushaka ya Mavundu).,June
Independent Electricity Management Operator Bill [B 14 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Mineral Resources and Energy – National Assembly).,Mulayotibe wa Ndangulo ya Mushuma nga Muḓagasi o Ḓiimisaho nga Eṱhe [B 14  2019] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya Phothifoḽio nga ha Zwiko zwa Minerala na Fulufulu – Buthano ḽa Lushaka).,June
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,Mulayotibe wa Khwiniso ya u Fhelelwa nga Tshifhinga ha Mafhungo a Siviḽi na a Vhugevhenga (Milandu ya zwa Vhudzekani) [B 22B - 2019] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya NCOP nga ha Tsireledzo na Vhulamukanyi – Khoro ya Lushaka ya Mavundu).,June
Economic Regulation of Transport Bill [B 1 - 2020] (National Assembly– sec 76) – (Portfolio Committee on Transport – National Assembly).,Mulayotibe wa Matshimbidzele a Ikonomi ya Vhuendi [B 1 - 2020] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya Phothifoḽio nga ha Vhuendi – Buthano ḽa Lushaka).,June
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Mulayotibe wa Khwiniso ya Phurofesheni ya U Oditha [B 2 - 2020] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya Tshoṱhe nga ha Masheleni – Buthano ḽa Lushaka).,June
Fiscal Responsibility Bill [B 5 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Mulayotibe wa Vhuḓifhinduleli ha Muvhalelano [B 5 - 2020] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya Tshoṱhe nga ha Masheleni – Buthano ḽa Lushaka).,June
"Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","U Khwiniswa ha Mulayotibe wa Khwiniso ya Pfanelo dza Vhuṋe ha Mavu [B 6 - 2020] (Buthano ḽa Lushaka – khet ya 76 yo dzinginywaho 76) – (Komiti ya Phothifoḽio nga ha Vhulimi, Mbuedzedzo ya Mavu na Mveledziso ya Mahayani – Buthano ḽa Lushaka).",June
National Road Traffic Amendment Bill [B 7 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Transport – National Assembly).,Mulayotibe wa Khwiniso ya Vhuendi ha Badani ha Lushaka [B7 - 2020] (Buthano ḽa Lushaka – khet ya 76 yo dzinginywaho 76) – (Komiti ya Phothifoḽio nga ha Vhuendi – Buthano ḽa Lushaka).,June
Transport Appeal Tribunal Amendment Bill [B 8 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Transport – National Assembly).,Mulayotibe wa Khwiniso ya Ṱhiraibunala ya Aphiḽi ya Vhuendi [B8 - 2020] (Buthano ḽa Lushaka – khet ya 76 yo dzinginywaho 76) – (Komiti ya Phothifoḽio nga ha Vhuendi – Buthano ḽa Lushaka).,June
Disaster Management Tax Relief Bill [B 11 - 2020] (National Assembly – proposed sec 77) – (Standing Committee on Finance - National Assembly).,Mulayotibe wa Muthelo wa Thusedzo ya Ndangulo ya Tshiwo [B 11 – 2020 Buthano ḽa Lushaka – khethekanyo ya 77 yo dzinginywaho).,June
Disaster Management Tax Relief Administration Bill [B 12 - 2020] (National Assembly – proposed sec 75) – (Standing Committee on Finance - National Assembly).,Mulayotibe wa Muthelo wa Thusedzo ya Ndaulo ya Tshiwo [B 12 – 2020] (Buthano ḽa Lushaka – khethekanyo ya 75 yo dzinginywaho).,June
BILLS RETURNED TO ASSEMBLY FOR CONSIDERATION OF PRESIDENT’S RESERVATIONS,MILAYOTIBE YO HUMISELWAHO KHA BUTHANO URI HU DZHIELWE NZHELE U SA FUSHEA HA MUPHURESIDENNDE,June
Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75).,Mulayotibe wa Tsireledzo ya Mafhungo a Muvhuso [B 6H – 2010] (Buthano ḽa Lushaka – khet ya 75).,June
Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya Zwibveledzwa zwa Zwikambi [B 10B – 2016] (Buthano ḽa Lushaka – khet ya 75).,June
Performers’ Protection Amendment Bill [B24B - 2016] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya Tsireledzo ya Vhamvumvusi [B24B - 2016] (Buthano ḽa Lushaka – khet ya 75).,June
Copyright Amendment Bill [B13B - 2017] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya Nzivhanyedziso [B13B - 2017] (Buthano ḽa Lushaka – khet ya 75).,June
BILLS PASSED BY NATIONAL ASSEMBLY AND TRANSMITTED TO NATIONAL COUNCIL OF PROVINCES FOR CONCURRENCE,MILAYOTIBE YO PHASISWAHO NGA BUTHANO ḼA LUSHAKA YA FHIRISELWA KHA KHORO YA LUSHAKA YA MAVUNDU URI I TENDELANIWE NGAYO,June
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76).,Mulayotibe wa Khothe dza Sialala [B 1B – 2017] (Buthano ḽa Lushaka – khet ya 76).,June
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) (introduced as Cybercrimes and Cybersecurity Bill [B 6 – 2017]).,Mulayotibe wa Vhugevhenga vhu Itwaho nga Inthanethe [B 6B – 2017] (Buthano ḽa Lushaka – khet ya 75).,June
Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya Khamphani ya Vhukavhamabufho [B 5B – 2018] (Buthano ḽa Lushaka – khet ya 75).,June
Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya Khamphani ya Tshumelo dza Vhuendi ha Muyani na u Wana Nḓila [B 6B – 2018] (Buthano ḽa Lushaka – khet ya 75).,June
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76).,Mulayotibe wa Khwiniso ya u Ṱhaḓula kha Matshilisano [B 8B - 2018] (Buthano ḽa Lushaka – khet ya 76).,June
Civil Union Amendment Bill [B 11B – 2018] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya Mbingano ya Vhathu vha Mbeu Nthihi [B 11B – 2018] (Buthano ḽa Lushaka – khet ya 75).,June
Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76).,Muvhuso Wapo: Mulayotibe wa Khwiniso ya Zwiṱirakhitsha zwa Masipala [B 19B – 2018] (Buthano ḽa Lushaka – khet ya 76).,June
National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76).,Mulayotibe wa Khwiniso ya u Gembula wa Lushaka [B 27B – 2018] (Buthano ḽa Lushaka – khet ya 76).,June
Science and Technology Laws Amendment Bill [B 42B  2018] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya Milayo ya Saintsi na Thekhinoḽodzhi [B 42B – 2018] (Buthano ḽa Lushaka – khet ya 75).,June
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76).,Mulayotibe wa Khwiniso ya u Dzhielwa Nṱha ha Mbingano dza Sialala [B 12 - 2019] (Buthano ḽa Lushaka – khet ya 76).,June
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya Mafhungo a Khaṱhulo [B 13B - 2019] (Buthano ḽa Lushaka – khet ya 75).,June
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya u Fhelelwa nga Tshifhinga ha Mafhungo a Siviḽi na a Vhugevhenga (Milandu ya zwa Vhudzekani) [B 22B - 2019] (Buthano ḽa Lushaka  – khet ya 75).,June
INTERNATIONAL AGREEMENTS,THENDELANO DZA DZITSHAKA,June
