eng,nso,source
"Consideration of Report of Portfolio Committee on Police on Petition of Mr Cornelius Basson (Announcements, Tablings and Committee Reports, 26 June 2020, p 10).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Maphodisa ka Phethišene ya Mna Cornelius Basson (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 26 June 2020, letl 10).",September
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (submitted by Mr M Waters, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 4).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Maphodisa ka Phethišene ya go tšwa baduding ba Kempton Park ba kgopela Kopano go nyakišiša ka palo ya tlase yeo e phelago e le bjalo ya ponagalo ya maphodisa le tlhaelelo ya difatanaga setešeneng sa maphodisa sa Kempton Park (e rometšwe ke Mna M Waters, MP) (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 26 June 2020, letl 4).",September
"Consideration of Report of Joint Standing Committee on Defence on Letters from the President on Employment of South African National Defence Force in Mozambique Channel, Democratic Republic of Congo, to Wuhan City in Hubei Province of People’s Republic of China, and in support of South African Police Service and other State Departments (Announcements, Tablings and Committee Reports, 19 June 2020, p 3).","Keleletšo ya Pego ya Komiti ya Sammaruri ya Mokopanelwa ya Sešole ka Mangwalo a go tšwa go Mopresidente a Thwalo ya Bahlabani ba Sešole sa Bosetšhaba sa Afrika Borwa kua Tšhaneleng ya Mozambique, Democratic Republic of Congo, go ya go Toropokgolo ya Wuhan kua Profenseng ya Hubei ka Rephabliking ya Batho ya China, le go thekga Ditirelo tša Sephodisa tša Afrika Borwa le Dikgoro tše dingwe tša Mmušo (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 19 June 2020, letl 3).",September
"Consideration of Report of Portfolio Committee on Employment and Labour on Second quarterly report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 120).","Keleletšo ya Pego ya Komiti ya Phothefolio ya tša Thwalo le Mešomo ka Pego ya Bobedi ya Kotara ka Kotara ya Bobedi mabapi le phethagatšo ya Kgoro ya tša Thwalo le Mešomo le dihlongwa go fihlelela maikemišetšo a maano a 2019/20 (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 18 June 2020, letl 120).",September
"Consideration of Report of Portfolio Committee on Employment and Labour on First quarterly report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 81).","Keleletšo ya Pego ya Komiti ya Phothefolio ya tša Thwalo le Mešomo ka Pego ya Mathomo ya Kotara ka Kotara ya mabapi le phethagatšo ya Kgoro ya tša Thwalo le Mešomo le dihlongwa go fihlelela maikemišetšo a maano a 2019/20 (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 18 June 2020, letl 81).",September
"Consideration of Report of Portfolio Committee on Employment and Labour on Third quarterly report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2018/19 (Announcements, Tablings and Committee Reports, 18 June 2020, p 12).","Keleletšo ya Pego ya Komiti ya Phothefolio ya tša Thwalo le Mešomo ka Pego ya Boraro ya Kotara ka Kotara ya mabapi le phethagatšo ya Kgoro ya tša Thwalo le Mešomo le dihlongwa go fihlelela maikemišetšo a maano a 2018/19 (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 18 June 2020, letl 12).",September
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on Oversight visit on pilot project for acquisition of office accommodation for South African Permanent Mission to United Nations and Consulate-General in New York, United States of America (Announcements, Tablings and Committee Reports, 16 March 2020, p 11).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Dikamano tša Boditšhabatšhaba le Tirišano ka Ketelo ya Tekodišišo go phorotšeke ya phaelote go rekela ofisi ya Boromiwa bja Sammaruri ya Ditšhaba tšeo di Kopanego le Mokhontshulara-Pharephare go la New York, kua United States of America (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 16 Matšhe 2020, letl 11).",September
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","Sephetho sa Potšišo ya Pego ya Komiti ya Phothefolio ya Thuto ya Maemo a Godimo, tša Mahlale le Theknolotši ka pego ya phethagatšo ya 2019/20 wa ditšhelete tša Kotara ya Mathomo le kabo ya ditirelo ya Kgoro ya Thuto ya Maemo a Godimo le Tlhahlo (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 5 Disemere 2019, letl 64).",September
"Consideration of Report of Portfolio Committee on Basic Education on Submission from Griqua People’s Heritage on lack of a Primary School (Announcements, Tablings and Committee Reports, 11 February 2020, p 5).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Thuto ya Motheo ka Tšhišinyo go tšwa go Batho ba Bohwa bja Griqua ka tlhokego ya Sekolo sa Phoraemari (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 11 Febereware 2020, letl 5).",September
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Announcements, Tablings and Committee Reports, 9 December 2019, p 20).","Keleletšo ya Pego ya Komiti ya Sammaruri ya Mohlakanelwa ya Taolo ya Ditšhelete tša Palamente ka mošomo wa kotara ya mathomo ya 2019/20 wa Palamente ya Rephabliki ya Afrika (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 9 Disemere 2019, letl 20).",September
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2018/19 Annual Report (Announcements, Tablings and Committee Reports, 9 December 2019, p 5).","Keleletšo ya Pego ya Komiti ya Sammaruri ya Mohlakanelwa ya Taolo ya Ditšhelete tša Palamente ka Pego ya Ngwaga ka Ngwaga ya 2018/19 ya Palamente ya Rephabliki ya Afrika Borwa (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 9 Disemere 2019, letl 5).",September
"Consideration of Report of Standing Committee on Auditor-General on Integrated Annual Report of Auditor-General for financial year 2018/19 (Announcements, Tablings and Committee Reports, 4 December 2019, p 3).","Keleletšo ya Pego ya Komiti ya Sammaruri ya Molekodi-Pharephare ka Pego yeo e Kopantšwego ya Ngwaga ya Molekodi-Pharephare ngwageng wa ditšhelete wa 2018/19 (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 4 Disemere 2019, letl 3).",September
MOTIONS (Notice given previously):,DITŠHIŠINYO (Tsebišo yeo e šetšego e filwe):,September
See p 309 (Mr N F Shivambu).,Bona letl 309 (Mna N F Shivambu).,September
APPENDIXES,DIMAMATLETŠO,September
PETITIONS REFERRED TO COMMITTEES,DIPHETHIŠENE TŠA GO ŠUPETŠWA DIKOMITING,September
"Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Bona letl 309 (Mna Phetišene go tšwa go badudi ba Toropokgolo ya Ekurhuleni, ba dira boipiletšo go Kopano gore e nyakišiše ditirelo tša go tlošwa ga matlakala mo go sa phethagalago ga lebaka le le telele tikologong ya bona (Moh H Ismail) – (Komiti ya Phothefolio ya Pušotirišano le Merero ya Setšo – Ngwako wa Bosetšhaba).",September
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).","Pethišene go tšwa baduding ba Kokomeng le metseng ya baagišane, ba kgopela Ngwako go nyakišiša le go šetša kudu pulo leswa ya seteišene sa maphodisa sa Kokomeng (Mna I S Seitlholo) – (Komiti ya Phothefolio ya Thuto ya Sephodisa – Ngwako wa Bosetšhaba).",September
"Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Pethišene go tšwa baduding ba Bredell, Pomona, Brentwood Park le Glen Marais (wate 25), Toropkgolo ya Ekurhuleni, ba kgopela Ngwako go nyakišiša phuhlamo ya mothopo wa go botega wa motlagase mafelong a bona (Moh H Ismail) – (Komiti ya Phothefolio ya Pušotirišano le Merero ya Setšo – Ngwako wa Bosetšhaba).",September
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portfolio Committee on Human Settlements, Water and Sanitation – National Assembly).","Phetišene go tšwa go badudi ba Actonville, go la Benoni, ba dira boipiletšo go Kopano gore e nyakišiše ka kelo ya godimo ya tefelo ya rente ka bahiri ba difolete tšeo e lego tša khantshele (Mna H Ismail) – (Komiti ya Phothefolio ya Bodudi bja Batho, Meetse le Kelelatšhila – Ngwako wa Bosetšhaba).",September
"Petition from the residents of Germiston, Ekurhuleni, calling on the Assembly to investigate power outages in Germiston (Ms M Clarke) – (Portfolio Committee on Cooperative Governance and Traditional Affairs - National Assembly).","Phethišene go tšwa go badudi ba Germiston, go la Ekurhuleni, ba dira boipiletšo go Kopano gore e nyakišiše ka go kgaogakgaoga ga motlagase go la Germiston (Mdi M Clarke) – (Komiti ya Phothefolio ya Pušotirišano le Merero ya Setšo - Ngwako wa Bosetšhaba).",September
"Petition from the residents of Letsitele Town, Ward 23, Tzaneen, calling on the Assembly to ensure that the Tzaneen municipality abides by the laws, by-laws and regulations, and that it implements the prescribed environmental and applicable zoning, as well as monitor and halt all illegal activities (Ms D van der Walt) – (Portfolio Committee on Cooperative Governance and Traditional Affairs - National Assembly).","Phetišene go tšwa go badudi ba Toropo ya Letsitele, Wateng ya 23, Tzaneen, ba dira boipiletšo go Kopano gore e kgonthišiše gore mmasepala wa Tzaneen o obamela melao, melawana ya mmasepala, le melawana, le gore o phethagatša lefelo la tikologo leo le šupeditšwego leo le kgonegago, le go lekola le go emiša ditiro tšeo di se go molaong (Mdi D van der Walt) – (Komiti ya Phothefolio ya Pušotirišano le Merero ya Setšo - Ngwako wa Bosetšhaba).",September
"Petition from the farmers and the community of Tzaneen, Limpopo, represented by AGRI Letaba, calling on the Assembly to investigate severe electricity outages, power dips, low voltage and poor to no maintenance since 2016 as a result of the failure of the Greater Tzaneen Municipality (Ms D van der Walt) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Phetišene go tšwa go balemi le setšhaba sa Tzaneen, go la Limpopo, ba emetšwe ke AGRI Letaba, ba dira boipiletšo go Kopano gore e nyakišiše ka go kgaogakgaoga ga motlagase ka tsela ye mpe, go imelwa ga motlagase, dibolethetše tša tlase le go lokišwa ga ona motlagase ga tlase go tloga ngwageng wa 2016 ka lebaka la go palelwa ga Mmasepala wa Greater Tzaneen (Mdi D van der Walt) – (Komiti ya Phothefolio ya Pušotiršiano le Merero ya Setšo – Ngwako wa Bosetšhaba).",September
BILLS REFERRED TO JOINT TAGGING MECHANISM (JTM),MELAOKAKANYWA YEO E IŠITŠWEGO GO LEANO LA TLHOPHO LA MOHLAKANELWA (JTM),September
Criminal Law (Sexual Offences and Related Matters) Amendment Act Amendment Bill [B 16  2020] (National Assembly – proposed sec 75).,Molaokakanywaphetošo wa Melao ya Lekala la Ditšhelete [B 15 - 2020] (Ngwako Bosetšhaba – kar yeo e akantšwego ya 75).,September
Criminal and Related Matters Amendment Bill [B 17 - 2020] (National Assembly – proposed sec 75).,Molaokakanywaphetošo wa Molaophetošo wa Molao wa Bosenyi (Melato ya tša Thobalano le Merero yeo e Amanago le yona) [B 16  2020] (Ngwako Bosetšhaba – kar yeo e akantšwego ya 75).,September
BILLS REFERRED TO COMMITTEES,MELAOKAKANYWA YEO E IŠITŠWEGO DIKOMITING,September
"Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 7) – (Portfolio Committee on Justice and Correctional Services – National Assembly).","Molaokakanywa wa Tšhireletšo ya Tshedimošo ya Mmušo [B 6H – 2010] (Ngwako wa Bosetšhaba – kar ya 75) le kgopolo ya Mopresidente ka bomolatheo bja Molaokakanywa bjalo ka ge o rometšwe go yena (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 12 June 2020, letl 7) – (Komiti ya Phothefolio ya Toka le Ditirelo tša Tshokollo – Ngwako wa Bosetšhaba).",September
"Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 2) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","Molaokakanywaphetošo wa Ditšweletšwa tša Bjala [B 10B – 2016] (Ngwako wa Bosetšhaba – kar ya 75) le kgopolo ya Mopresidente ka bomolatheo bja Molaokakanywa bjalo ka ge o rometšwe go yena (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 12 June 2020, letl 2) – (Komiti ya Phothefolio ya tša Temo, Tsošološo ya Naga le Tlhabollo ya Magae – Ngwako wa Bosetšhaba).",September
"Performers’ Protection Amendment Bill [B 24B - 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 22 June 2020, p 2) – (Portfolio Committee on Trade and Industry – National Assembly).","Molaokakanywaphetošo wa Tšhireletšo ya Baphethagatši [B 24B - 2016] (Ngwako wa Bosetšhaba – kar ya ya 75) le tšeo Mopresidente a sa di laetšego ka go se sepelelane ga Molaokanywa le Molaotheo bjalo ka ge o išitšwe go yena (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 22 June 2020, letl 2) – (Komiti ya Phothefolio ya Kgwebo le Intasteri – Ngwako wa Bosetšhaba).",September
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Molaokakanywa wa Dikgorotsheko tša Setšo [B 1B – 2017] (Ngwako wa Bosetšhaba – kar ya 76) – (Komiti yeo e Hlaotšwego ya Tšhireletšo le Toka– Lekgotla la Bosetšhaba la Diprofense).,September
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) (introduced as Cybercrimes and Cybersecurity Bill [B 6 – 2017]) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Molaokanywa wa Bosenyi bja Inthanete [B 6B – 2017] (Ngwako wa Bosetšhaba – kar ya 75) (o tsebagaditšwe bjalo ka Molaokakanywa wa Bosenyi bja Inthanete le Tšhireletšo ya Inthanete [B 6 – 2017]) – (Komiti ya Phothefolio ya Toka le Ditirelo tša Tshokollo – Ngwako wa Bosetšhaba).,September
"Copyright Amendment Bill [B 13B - 2017] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 22 June 2020, p 2) – (Portfolio Committee Trade and Industry – National Assembly).","Molaokakanywaphetošo wa Khophiraethe [B 13B - 2017] (Ngwako wa Bosetšhaba – kar ya 75) le tšeo Mopresidente a sa di laetšego ka go se sepelelane ga Molaokanywa le Molaotheo bjalo ka ge o išitšwe go yena (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 22 June 2020, letl 2) – (Komiti ya Phothefolio ya Kgwebo le Intasteri – Ngwako wa Bosetšhaba).",September
International Crimes Bill [B 37 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Molaokakanywa wa Bosenyi bja Boditšhabatšhaba [B 37 – 2017] (Ngwako wa Bosetšhaba – kar ya 75) – (Komiti ya Phothefolio ya Toka le Ditirelo tša Tshokollo – Ngwako wa Bosetšhaba).,September
"Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Molaokakanywaphetošo wa Dikhamphani tša Boemafofane [B 5B – 2018] (Ngwako wa Bosetšhaba – kar ya 75) – (Komiti yeo e Hlaotšwego ya tša Dinamelwa, Bolaodi le Ditirelo tša Setšhaba, Mešomo ya Setšhaba le Mafarahlahla – Lekgotla la Bosetšhaba la Diprofense).",September
"Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Molaokakanywaphetošo wa Khamphani ya Sephethephethe sa Moyeng le Ditirelo tša Dinyakišišo tša Ditsela [B 6B – 2018] (Ngwako wa Bosetšhaba – kar ya 75) – (Komiti yeo e Hlaotšwego ya tša Dinamelwa, Bolaodi le Ditirelo tša Setšhaba, Mešomo ya Setšhaba le Mafarahlahla – Lekgotla la Bosetšhaba la Diprofense).",September
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76) – (Select Committee on Health and Social Services – National Council of Provinces).,Molaokakanywaphetošo wa Thušo ya tša Leago [B 8B - 2018] (Ngwako wa Bosetšhaba – kar ya 76) – (Komiti yeo e Hlaotšwego ya tša Maphelo le Ditirelo tša Leago– Lekgotla la Bosetšhaba la Diprofense).,September
Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Molaokakanywa wa Thibelo ya Bosenyi bja Lehloyo le Polelo ya Lehloyo [B 9 – 2018] (Ngwako wa Bosetšhaba – kar ya 75) – (Komiti ya Phothefolio ya Toka le Ditirelo tša Tshokollo – Ngwako wa Bosetšhaba).,September
State Liability Amendment Bill [B 16 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Molaokakanywaphetošo wa Mekitlana ya Mmušo [B 16 – 2018] (Ngwako wa Bosetšhaba – kar ya 75) – (Komiti ya Phothefolio ya Toka le Ditirelo tša Tshokollo – Ngwako wa Bosetšhaba).,September
"Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76) – (Select Committee on Cooperative Governance and Traditional Affairs, Water and Sanitation and Human Settlements – National Council of Provinces).","Molaokakanywaphetošo wa Mmušo wa Selegae: Ditho tša Mebasepala [B 19B – 2018] (Ngwako wa Bosetšhaba – kar ya 76) – (Komiti yeo e Hlaotšwego ya Pušotirišano le Merero ya Setšo, Meetse le Kelelatšhila le Bodulo bja Batho– Lekgotla la Bosetšhaba la Diprofense).",September
South African Reserve Bank Bill [B 26 – 2018] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Molaokakanywa wa Panka ya Peeletšo ya Afrika Borwa [B 26 – 2018] (Ngwako wa Bosetšhaba – kar ya 75) – (Komiti ya Sammaruri ya Ditšhelete– Ngwako wa Bosetšhaba).,September
"National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76) – (Select Committee on Trade and Industry, Economic Development, Small Business Development, Tourism, Labour and Employment – National Council of Provinces).","Molaokakanywaphetošo wa go Kempola ga Bosetšhaba [B 27B – 2018] (Ngwako wa Bosetšhaba – kar ya 76) – (Komiti yeo e Hlaotšwego ya Dikgwebo le Intasteri, Tlhabollo ya Ekonomi, Tlhabollo ya Dikgwebopotlana, Boeti, Mešomo le Thwalo – Lekgotla la Bosetšhaba la Diprofense).",September
National Health Amendment Bill [B 29 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,Molaokakanywaphetošo wa Maphelo a Bosetšhaba [B 29 – 2018] (Ngwako wa Bosetšhaba – kar ya 76) – (Komiti ya Phothefolio ya Maphelo – Ngwako wa Bosetšhaba).,September
Public Finance Management Amendment Bill [B 41  2018] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Molaokakanywaphetošo wa Taolo ya Matlotlo a Setšhaba [B 41  2018] (Ngwako wa Bosetšhaba – kar ya 76) – (Komiti ya Sammaruri ya tša Matlotlo– Ngwako wa Bosetšhaba).,September
Civil Aviation Amendment Bill [B 44 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Molaokakanywaphetošo wa Dinamelwa tša Moyeng [B 44 – 2018] (Ngwako wa Bosetšhaba – kar ya 75) – (Komiti ya Phothefolio ya Dinamelwa – Ngwako wa Bosetšhaba).,September
Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (National Assembly – sec 76) – (Portfolio Committee Cooperative Government and Traditional Affairs – National Assembly).,Molaokakanywaphetošo wa Mmušo wa Selegae: Mananeo a Mmasepala [B 2 – 2019] (Ngwako wa Bosetšhaba – kar ya 76) – (Komiti ya Phothefolio ya Pušotirišano le Merero ya Setšo – Ngwako wa Bosetšhaba).,September
National Health Insurance Bill [B 11 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,Molaokakanywa wa Inšorentshe ya Maphelo a Bosetšhaba [B 11 - 2019] (Ngwako wa Bosetšhaba – kar ya 76) – (Komiti ya Phothefolio ya tša Maphelo – Ngwako wa Bosetšhaba).,September
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Molaokakanywaphetošo wa Kamogelo a Manyalo a Setšo [B 12 - 2019] (Ngwako wa Bosetšhaba – kar ya 76) – (Komiti yeo e Hlaotšwego ya Tšhireletšo le Toka – Lekgotla la Bosetšhaba la Diprofense).,September
Independent Electricity Management Operator Bill [B 14 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Mineral Resources and Energy – National Assembly).,Molaokakanywa wa Taolo yeo e Ikemego ya Tshepetšo ya Motlagase [B 14 - 2019] (Ngwako wa Bosetšhaba – kar yeo e akantšwego ya 76) – (Komiti ya Phothefolio ya Didirišwa tša Diminerale le Enetši – Ngwako wa Bosetšhaba).,September
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,Molaokakanywaphetošo wa Tšhupetšo ya Merero ya Setšhaba le ya Bosenyi (Melato ya tša Thobalano) [B 22B - 2019] (Ngwako wa Bosetšhaba – kar ya 75) – (Komiti yeo e Hlaotšwego ya Tšhireletšo le Toka - Lekgotla la Bosetšhaba la Diprofense).,September
Economic Regulation of Transport Bill [B 1 - 2020] (National Assembly– sec 76) – (Portfolio Committee on Transport – National Assembly).,Molaokakanywa wa Taolo ya Ekonomi ya Dinamelwa [B 1 - 2020] (Ngwako wa Bosetšhaba – kar ya 76) – (Komiti ya Phothefolio ya Dinamelwa – Ngwako wa Bosetšhaba).,September
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Molaokakanywaphetošo wa Phorofešene ya Bolekodi [B 2 - 2020] (Ngwako wa Bosetšhaba – kar yeo e šišintšwego ya 75) – (Komiti ya Sammaruri ya tša Matlotlo– Ngwako wa Bosetšhaba).,September
Fiscal Responsibility Bill [B 5 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Molaokakanywa wa Maikarabelo a Ditšhelete [B 5 - 2020] (Ngwako wa Bosetšhaba – kar yeo e akantšwego ya 76) – (Komiti ya Sammaruri ya Ditšhelete – Ngwako wa Bosetšhaba).,September
"Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly) [Referred to National House of Traditional Leaders on 3 July 2020].","Molaokakanywaphetošo wa Ditokelo tša Kaonafatšo ya go ba mong wa Naga [B 6 - 2020] (Ngwako wa Bosetšhaba – kar yeo e akantšwego 76) – (Komiti ya Phothefolio ya tša Temo, Tsošološo ya Naga le Tlhabollo ya Magae – Ngwako wa Bosetšhaba) [E fetišeditšwe go Ngwako wa Bosetšhaba wa Baetapele ba Setšo ka 3 Julae 2020].",September
National Road Traffic Amendment Bill [B 7 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Transport – National Assembly).,Molaokakanywaphetošo wa Sephethephethe sa Ditsela tša Bosetšhaba [B7-2020] (Ngwako wa Bosetšhaba – kar yeo e akantšwego 76) – (Komiti ya Phothefolio ya tša Dinamelwa – Ngwako wa Bosetšhaba).,September
Transport Appeal Tribunal Amendment Bill [B 8 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Transport – National Assembly).,Molaokakanywaphetošo wa Aphile ya Tsheko ya Dinamelwa [B8-2020] (Ngwako wa Bosetšhaba – kar yeo e akantšwego 76) – (Komiti ya Phothefolio ya tša Dinamelwa – Ngwako wa Bosetšhaba).,September
Disaster Management Tax Relief Bill [B 11B – 2020] (National Assembly – sec 77) – (Standing Committee on Finance – National Council of Provinces).,Molaokakanywa wa Kimollo ya Lekgetho la Taolo ya Masetlapelo [B 11 – 2020] (Ngwako wa Bosetšhaba – kar yeo e akantšwego 77) – (Komiti ya Sammaruri ya Ditšhelete – Lekgotla la ko wa Bosetšhaba la Diprofense).,September
Disaster Management Tax Relief Administration Bill [B 12B – 2020] (National Assembly – sec 75) – (Standing Committee on Finance – National Council of Provinces).,Molaokanywa wa Tshepetšo ya Kimollo ya Lekgetho la Taolo ya Masetlapelo [B 12 B - 2020] (Ngwako wa Bosetšhaba – kar ya 75) – (Komiti ya Sammaruri ya Ditšhelete – Lekgotla la ko wa Bosetšhaba la Diprofense).,September
Public Finance Management Amendment Bill [B 13 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance - National Assembly).,Molaokanywaphetošo wa Taolo ya Ditšhelete tša Setšhaba [B 13 - 2020] (Ngwako wa Bosetšhaba – kar 76) – (Komiti ya Sammaruri ya Ditšhelete – Ngwako wa Bosetšhaba).,September
Employment Equity Amendment Bill [B 14 - 2020] (National Assembly – sec 75) – (Portfolio Committee on Employment and Labour – National Assembly).,Molaokakanywa wa Tekanetšo ya Mešomo [B 14 - 2020] (Ngwako wa Bosetšhaba – kar yeo e akantšwego ya 75). (Komiti ya Phothefolio ya tša Mešomo le Mediro – Ngwako wa Bosetšhaba).,September
Financial Sector Laws Amendment Bill [B 15 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance - National Assembly).,Molaokakanywaphetošo wa Melao ya Lekala la Ditšhelete [B 15 - 2020] (Ngwako Bosetšhaba – kar yeo e akantšwego ya 75). – (Komiti ya Sammaruri ya Ditšhelete – Ngwako wa Bosetšhaba).,September
Criminal Law (Sexual Offences and Related Matters) Amendment Act Amendment Bill [B 16  2020] (National Assembly – proposed sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Molaokakanywaphetošo wa Molaophetošo wa Molao wa Bosenyi (Melato ya tša Thobalano le Merero yeo e Amanago le yona) [B 16  2020] (Ngwako Bosetšhaba – kar yeo e akantšwego ya 75) – (Komiti ya Phothefolio ya tša Toka le Ditirelo tša Tshokollo – Ngwako wa Bosetšhaba).,September
Criminal and Related Matters Amendment Bill [B 17 - 2020] (National Assembly – proposed sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Molaokakanywaphetošo wa Bosenyi le Merero yeo e Amanago le yona [B 17 - 2020] (Ngwako Bosetšhaba – kar yeo e akantšwego ya 75) – (Komiti ya Phothefolio ya tša Toka le Ditirelo tša Tshokollo – Ngwako wa Bosetšhaba).,September
BILLS RETURNED TO ASSEMBLY FOR CONSIDERATION OF PRESIDENT’S RESERVATIONS,MELAOKAKANYWA YA GO BUŠETŠWA KE MOPRESIDENTE NGWAKONG GORE TŠEO DI SA MO FETIŠEGO GABOTSE DI LEBELELWE,September
