eng,zul,source
"Consideration of Report of Portfolio Committee on Employment and Labour on Oversight visit to Compensation Fund Head-Quarters (Announcements, Tablings and Committee Reports, 18 June 2020, p 3).","19.Ukucutshungulwa koMbiko WeKomidi LesiShayamthetho elibhekele Ezokuqashwa kanye Nezabasebenzi mayelana mayelana Nokuhlola imisebenzi kahulumeni koMkhulu Wesikhwama sesinxephezelo ((Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi-18 kuNhlangulana wezi-2020, ikh 3).",August
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Third Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 19 May 2020, p 3).","20.Ukucutshungulwa koMbiko WeKomidi LesiShayamthetho elibhekele Ezokuhweba kanye Nezimboni mayelana Nokusebenza kwezimali Kwekota yesithathu yoMnyango Wezokuhweba kanye Nezimboni Nokuthuthukuswa Kwezomnotho kanye nalokho okungahambisani nemali konyaka wezi-2019/20 (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi- ziyi-19 kuNhlaba wezi-2020, ikh 3).",August
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on Oversight visit on pilot project for acquisition of office accommodation for South African Permanent Mission to United Nations and Consulate-General in New York, United States of America (Announcements, Tablings and Committee Reports, 16 March 2020, p 11).","21.Ukucutshungulwa koMbiko weKomidi LesiShayamthetho elibheleIzindaba Zangaphandle Nokubambisana mayelana nokuhlola iphrojekthi eqaliswayo youktholakala kwamahhovisi Okuzosebenzela kuwo Amanxusa WeNingizimu Afrika Unomphela ENhlanganweni Yezizwe kanye Nenxusa Jikelele eNew York, eMerikha ((Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi-16 kuNdasa wezi-2020, ikh 11).",August
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","22. Isinqumo mayelana noMbuzo mayelana noMbiko weKomiti LesiShayamthetho elibhekele Ezemfundo Ephakeme, iSayensi kanye Nezobuchwepheshe omayelana Nokusebenza Kwesikhwama Sikazwelonke Sokubhekelela Ukuqeqeshelwa Amakhono kanye Nezikhungo Zokuqeqesha Kunyangantathu Wokuqala wezi-2019/20. (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi-5 kuZibandlela wezi-2019, ikh 64).",August
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department Public Service and Administration, Entities and Public Service Commission (Announcements, Tablings and Committee Reports, 11 March 2020, p 30).","23.Ukucutshungulwa koMbiko weKomidi LesiShayamthetho elibhekele Ezemisebenzi Kahulumeni Nokuphathwa Kwayo mayelana Nokusebenza koMnyango Wezemisebenzi Kahulumeni Nokuphathwa Kwayo, Izinkampani Ezisebenza Ngaphansi Kwawo kanye neKhomishana Yezemisebenzi Kahulumeni kuNyangantathu Wesibili kanye NoweSithathu kunyaka wezimali we-2019/20 (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla zi-11 kuNdasa wezi-2020, ikh 30).",August
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 23).","24.Ukucutshungulwa KoMbiko WeKomidi LesiShayamthetho elibhekele ukulethwa kweziNsiza zoMphakathi nokuphathwa kwazo kuNyangantathu Wesibili kanye NoweSithathu kunyaka wezimali we-2019/20: Statistics South Africa (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla zi-11 kuNdasa wezi-2020, ikh 23).",August
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 15).","25.Ukucutshungulwa KoMbiko WeKomidi LesiShayamthetho elibhekele ukulethwa kweziNsiza zoMphakathi nokuphathwa kwazo kuNyangantathu Wesibili kanye NoweSithathu kunyaka wezimali we-2019/20: Department of Planning, Monitoring and Evaluation and Brand South Africa (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla zi-11 kuNdasa wezi-2020, ikh 15).",August
"Consideration of Report of Portfolio Committee on Basic Education on Oversight visit to Capricorn and Sekhukhune Education Districts, Limpopo Province (Announcements, Tablings and Committee Reports, 26 February 2020, p 6).","26.Ukucutshungulwa KoMbiko WeKomidi LesiShayamthetho elibhekele ezeMfundo yamaBamga aPhansi mayelana nokuhanjelwa kwezindawo zemfundo i-Capricon neSikhukhune, esiFundazweni sase Limpopo (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla zingama-26 kuNhlolanja wezi-2020, ikh 6).",August
"Consideration of Report of Portfolio Committee on Basic Education on Submission from Griqua People’s Heritage on lack of a Primary School (Announcements, Tablings and Committee Reports, 11 February 2020, p 5).","27.Ukucutshungulwa KoMbiko WeKomidi LesiShayamthetho   elibhekele Ezemfundo Yamabanga Aphansi omayelana nokusweleka Kwesikole Samabanga Aphansi e-Griqua People’s Heritage (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi- 11 kuNhlolanja wezi- 2020, ikh 5).",August
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Announcements, Tablings and Committee Reports, 9 December 2019, p 20).","28.Ukucutshungulwa koMbiko weKomidi LesiShayamthetho elingaguquki futhi elihlanganisa iziNdlu zozombili elibhekele ezeziMali zePhalamende yaseNingizimu Afrika yonyaka wezi-2019/20 wekota yokuqala (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi- 9 kuZibandlela wezi- 2019, ikh 20).",August
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2018/19 Annual Report (Announcements, Tablings and Committee Reports, 9 December 2019, p 5).","29.Ukucutshungulwa koMbiko weKomidi LesiShayamthetho Elingaguquki elihlanganisa iziNdlu zozimbili elibhekele Ukuphathwa KweziMali zePhalamende mayelana noMbiko Wonyaka wePhalamende laseNingizimu Afrika wezi-2018/19 (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi- 9 kuZibandlela wezi- 2019, ikh 5).",August
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Announcements, Tablings and Committee Reports, 5 December 2019, p 24).","30.Ukucutshungulwa KoMbiko WeKomidi LesiShayamthetho elibhekele Ezemfundo Ephakeme, iSayensi kanye Nezobuchwepheshe omayelana nokusebenza Kwesikhwama Sikazwelonke Sokubhekelela Ukuqeqeshelwa Amakhono kanye Nezikhungo Zokuqeqesha wezi-2018/19. (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi-5 kuZibandlela wezi-2019, ikh 24).",August
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 5 December 2019, p 4).","31.Ukucutshungulwa KoMbiko WeKomidi LesiShayamthetho elibhekele EzoHwebo NeziMboni mayelana nokusebenza Kwezezimali kanye Nokungasebenzi kwezinto Ezingaphathelene nezezimali Kunyangatathu YesiThathu Yezimali zoMnyango WezoHwebo NeziMboni kanye Nokuthuthukiswa Komnotho onyakeni wezimali wezi-2019/20 (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi-5 kuZibandlela wezi-2019, ikh 4).",August
"Consideration of Report of Standing Committee on Auditor-General on Integrated Annual Report of Auditor-General for financial year 2018/19 (Announcements, Tablings and Committee Reports, 4 December 2019, p 3).","32.Ukucutshungulwa koMbiko WeKomidi Elingaguquli LesiShayamthetho elibhekele Umbiko Wonyaka Odidiyele WeHhovisi Lomncwaningi-Mabhuku Omkhulu kunyaka wezimali wezi- 2018/19 Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi-4 kuZibandlela wezi-2019, ikh 3).",August
MOTIONS (Notice given previously):,IZIPHAKAMISO (Isaziso esikhishwe phambilini):,August
"See p 94-96 (Ms R C Adams, Mr S Ngcobo, Ms M S Khawula, Ms N G Adoons, Mr S L Ngcobo, Ms T Breedt, Ms T Mgweba, Mr W M Thring, Mr N L S Kwankwa, Mr M L Shelembe, Mrs E N Ntlangwini, Ms F A Masiko, Mr S H Mbuyane, Ms A S Hlongo, M.Gen O S Terblanche, Mr M G E Hendricks, Mr T S Mpanza, Mr P P Keetse, Ms R C Adams) p 192 (Mr K J Mileham) p 202 (Ms D Kohler).","Bheka ikh 94-96 (Nks R C Adams, Mnu S Ngcobo, Nks M S Khawula, Nks N G Adoons, Mnu S L Ngcobo, Nks T Breedt, Nks T Mgweba, Mnu W M Thring, Mnu N L S Kwankwa, Mnu M L Shelembe, Mnus E N Ntlangwini, Nks F A Masiko, Mnu S H Mbuyane, Nks A S Hlongo, M. Gen O S Terblanche, Mnu M G E Hendricks, Mnu T S Mpanza, Mnu P P Keetse, Nks R C Adams) ikh 192 (UMnu K J Mileham) ikh 202 (Nks D Kohler).",August
APPENDIXES,IZITHASISELO,August
PETITIONS REFERRED TO COMMITTEES,IZIKHALAZO EZIBHEKISWE EMAKOMIDINI,August
"Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).",Uhlu lwesikhalazo esivela emphakathini woMasipala Omkhulu wase-Ekurhuleni ucela isiShayamthetho ukuthi siphenye mayelana nokuthuthwa okungahambi kahle kukadoti okuhlala kwenzeka endaweni yawo (Mnu H Ismail) – (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele ezokuBusa NgoKubambisana kanye Nezindaba zeNdabuko – iNdlu yesiShayamthetho sikaZwelonke).,August
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).","Uhlu lwesikhalazo esivela emphakathini waseKokomeng kanye nasezigodini ezingomakhelwane, ucela isiShayamthetho ukuthi siphenye futhi sibeke phambili ukuvulwa kabusha kwesiteshi samaphoyisa saseKokomeng (Mnu I S Seitlholo) – (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezamaphoyisa – iNdlu yesiShayamthetho sikaZwelonke).",August
"Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Isikhalazo esivela emphakathini waseBredell, ePomona, Berentwood Park kanye naseGlen Marais (esigcemeni sa-25), iDolobhakazi lase-Ekurhuleni, ucela iSishayamthetho ukuthi siphenye ngokufadabala kokuhlinzekwa okuthembekayo kogesi ezindaweni zawo (Nksz H Ismail) – (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele ezokuBusa NgoKubambisana kanye neziNdaba zeNdabuko – iNdlu yesiShayamthetho sikaZwelonke).",August
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portfolio Committee on Human Settlements, Water and Sanitation – National Assembly).","Uhlu lwesikhalazo esivela emphakathini wase-Actonville, eBenoni, ucela isiShayamthetho ukuthi siphenye izinga mayelana nokumba eqolo kokuqasha izindlu abaqashi bamafulethi angawomkhandlu (Nks H Ismail)- (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele ezokuHlaliswa kwabantu, Amanzi Kanye nokuthuthwa kwendle-  iNdlu yesiShayamthetho sikaZwelonke).",August
"Petition from the residents of Jamestown, Stellenbosch, calling on the Assembly to investigate the transfer, by Eskom, of management powers over the electricity network in Jamestown to Stellenbosch municipality (Dr L Shreiber) – (Portfolio Committee on Public Enterprises -  National Assembly).","Uhlu lwesikhalazo esivela emphakathini waseJamestown, Stellenbosch, ucela isiShayamthetho ukuthi siphenye mayelana negunya lokwengamela ugesi eJamestown, Eskom alinikeze uMasipala waseStellenbosch (Dkt L Shreiber) – (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele izinkampani zikahulumeni -  isiShayamthetho sikaZwelonke).",August
"Petition from the residents of Germiston, Ekurhuleni, calling on the Assembly to investigate power outages in Germiston (Ms M Clarke) – (Portfolio Committee on Cooperative Governance and Traditional Affairs - National Assembly).","Uhlu lwesikhalazo esivela emphakathini waseGermiston, uMasipala omkhulu wase-Ekurhuleni ucela isiShayamthetho sikaZwelonke ukuthi siphenye mayelana nokunqamuka kwamandla kagesi okuningana (Nk Clarke) – ((IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele izinkampani zikahulumen - isiShayamthetho sikaZwelonke).",August
"Petition from the residents of Letsitele Town, Ward 23, Tzaneen, calling on the Assembly to ensure that the Tzaneen municipality abides by the laws, by-laws and regulations, and that it implements the prescribed environmental and applicable zoning, as well as monitor and halt all illegal activities (Ms D van der Walt) – (Portfolio Committee on Cooperative Governance and Traditional Affairs - National Assembly).","Uhlu lwesikhalazo esivela emphakathini waseLetsitele Town, Ward 23, Tzaneen, ucela ukuthi isiShayamthetho siqinisekise ukuthi umasipala waseTzaneen uyayigcina imithetho kanye nezimiso zomasipala, nokuthi isebenzisa ukwehlukaniswa kwemingcele okbekiwe okuhambisana nendawo, kanye nokuqapha futhi imise yonke imisebenzi engekho emthethweniand that it implements the prescribed environmental and applicable zoning,  (Nk D van der Walt) – (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele ezokuBusa NgoKubambisana kanye Nezindaba zeNdabuko – iNdlu yesiShayamthetho sikaZwelonke).",August
"Petition from the farmers and the community of Tzaneen, Limpopo, represented by AGRI Letaba, calling on the Assembly to investigate severe electricity outages, power dips, low voltage and poor to no maintenance since 2016 as a result of the failure of the Greater Tzaneen Municipality (Ms D van der Walt) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","8.Uhlu lwesikhalazo esivela kubalimi kanye nomphakathini waseTzaneen, eLimpopo, omelwe uAGRI Letaba, ucela ukuthi isiShayamthetho siphenye ukunqamuka kwamandla kagesi okudlangile, amandla kagesi amancane, amavoltheji aphansi kanye nokulungiswa okungekuhle noma okungenzeki nhlobo. (Nk D van der Walt) – (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele ezokuBusa NgoKubambisana kanye Nezindaba zeNdabuko – iNdlu yesiShayamthetho)",August
BILLS REFERRED TO JOINT TAGGING MECHANISM (JTM),IMITHETHOSIVIVINYWA ETHUNYELWE EKOMIDINI LOKUHLUNGA ELIYINHLANGANISELA (JTM),August
Financial Sector Laws Amendment Bill [B 15 - 2020] (National Assembly – proposed sec 75).,ISichibiyelo soMthethosivivinywa soMthetho Wesikhungo sezeZezimali [B 15 - 2020] (iNdlu yesiShayamthetho sikaZwelonke – isigaba sama-75 esihlongoziwe).,August
BILLS REFERRED TO COMMITTEES,IMITHETHOSIVIVINYWA ETHUNYELWE EMAKOMIDINI,August
"Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 7) – (Portfolio Committee on Justice and Correctional Services – National Assembly).","UMthethosivivinywa Wokuvikelwa Kokusatshalaliswa Kwezindaba Zombuso [B 6H – 2010] (iNdlu yesiShayanthetho sikaZwelonke – isig. 75) kanye nezinto ezikhathaza uMongameli ngalo Mthethosivivinywa mayelana nokuthi uyahambisana yini noMthethosisekelo ngesikhathi wethulwa kuye (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla zi-12 kuNhlangulana wezi-2020, ikh 7) – (iKomidi loMkhandlu kaZwelonke elibhekele Ezobulungiswa kanye Nokuhlunyeleliswa Kwezimilo – iNdlu yesiShayamthetho sikaZwelonke).",August
"Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 2) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","ISichibiyelo soMthethosivivinywa Semikhiqizo Yotshwala [B 10B – 2016] (iNdlu yesiShayanthetho sikaZwelonke – isig. 75) kanye nezinto ezikhathaza uMongameli ngalo Mthethosivivinywa mayelana nokuthi uyahambisana yini noMthethosisekelo ngesikhathi wethulwa kuye (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla zi-12 kuNhlangulana wezi-2020, ikh 2) – (iKomidi loMkhandlu kaZwelonke elibhekele Ezolimo, Izinguquko Zezomhlaba Nokuthuthukiswa Kwezindawo Zasemakhaya – iNdlu yesiShayamthetho sikaZwelonke).",August
"Performers’ Protection Amendment Bill [B 24B - 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 22 June 2020, p 2) – (Portfolio Committee on Trade and Industry – National Assembly).","ISichibiyelo SoMthethosivivinywa Wokuvikelwa Kwamaciko [B 24B - 2016] (iSishayamthetho Sikazwelonke – isig 75) kanye nezinto ezikhathaza uMongameli ngalo Mthethosivivinywa mayelana nokuthi uyahambisana yini noMthethosisekelo ngesikhathi wethulwa kuye (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla zi-22 kuNhlangulana wezi-2020, ikh 2) – (iKomidi loMkhandlu kaZwelonke elibhekele Ezowhebo Nezimboni – iNdlu yesiShayamthetho sikaZwelonke).",August
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,UMthethosivivinywa WeziNkantolo ZeNdabuko [B 1B – 2017] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-76) – (iKomidi loMkhandlu kaZwelonke Wezifundazwe elibhekele Ezokuphepha kanye Nezobulungiswa –uMkhandlu kaZwelonke Wezifundazwe).,August
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) (introduced as Cybercrimes and Cybersecurity Bill [B 6 – 2017]) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,UMthethosivivinywa Wobugebengu Obenziwe nge-Inthanethil [B 6B – 2017] (iNdlu yesiShayamthetho sikaZwelonke – isigaba 75) (owethulwe njeNgobugebengu Obenziwe nge-Inthanethi kanye noMthethosivivinywa Wokuvikela Ubugebengu Obenziwe nge-Inthanethi [B 6 – 2017]) – (iKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezobulungiswa kanye Nokuhlunyeleliswa Kwezimilo – iNdlu yesiShayamthetho sikaZwelonke).,August
"Copyright Amendment Bill [B 13B - 2017] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 22 June 2020, p 2) – (Portfolio Committee Trade and Industry – National Assembly).","Isichibiyelo soMthethosivivinywa Wezokuvikelwa Kwamalungelo Obunikazi Bokuyimibhalo [B13B - 2017] ((iNdlu yesiShayamthetho sikaZwelonke – isigaba 75) kanye nezinto ezikhathaza uMongameli ngalo Mthethosivivinywa mayelana nokuthi uyahambisana yini noMthethosisekelo ngesikhathi wethulwa kuye (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla zi-22 kuNhlangulana wezi-2020, ikh 2) – (iKomidi loMkhandlu kaZwelonke elibhekele Ezowhebo Nezimboni – iNdlu yesiShayamthetho sikaZwelonke).",August
Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Isichibiyelo soMthethosivivinywa Wesikhwama Semihlomulo YeziNgozi ZemiGwaqo [B 17B – 2017] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-75) – (iKomidi lesiShayamthetho sikaZwelonke elibhekele Ezokuthutha – iNdlu yesiShayamthetho sikaZwelonke).,August
International Crimes Bill [B 37 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Isichibiyelo soMthethosivivinywa Wamacala Enziwe Ezingeni Lamazwe Omhlaba [B 37 – 2017] (iNdlu yesiShayamthetho sikaZwelonke –isgaba-75) – (iKomidi lesiShayamthetho sikaZwelonke elibhekele Ezobulungiswa kanye Nokuhlunyeleliswa kwezimilo – iNdlu yesiShayamthetho sikaZwelonke).,August
"Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","UMthethosivivinywa WeNkampani Zezikhumulo Zezindiza [B 5B-2018] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-75) (iKomidi Lomkhandlu WeziFundazwe LezokuThutha, Abasebenzi BakaHulumeni, iMisebenzi Yomphakathi kanye Nenqalasizinda- uMkhandlu kaZwelonke Wezifundazwe).",August
"Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Isichibiyelo SoMthethosivivinywa Wokuhamba Emoyeni kanye Nezinkampani Ezilawula Ezokuhamba Emoyeni [B 6B – 2018] (iNdlu yesiShayamthetho sikaZwelonke – sisigaba-75) (iKomidi Lomkhandlu WeziFundazwe LezokuThutha, Abasebenzi BakaHulumeni, iMisebenzi Yomphakathi kanye Nenqalasizinda- uMkhandlu kaZwelonke Wezifundazwe).",August
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76) – (Select Committee on Health and Social Services – National Council of Provinces).,ISichibiyelo SoMthethosivivinywa Wokusizwa Komphakathi [B 8B - 2018] (iNdlu yesiShayamthetho sikaZwelonke –isgaba 76) – (iKomidi Lomkhandlu Kazwelonke WeziFundazwe elibhekele Ezempilo kanye Nemisebenzi Yezenhlalakahle - UMmkhandlu Kazwelonke WeziFundazwe).,August
Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Isichibiyelo soMthethosivivinywa Sokuvikela Amacala Enzondo kanye Nenkulumo Enenzondo [B 9 – 2018] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-75) – (iKomidi loMkhandlu kaZwelonke elibhekele Ezobulungiswa kanye Nokuhlunyeleliswa kwezimilo – iNdlu yesiShayamthetho sikaZwelonke).,August
State Liability Amendment Bill [B 16 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Isichibiyelo soMthethosivivinywa Wezikweletu zoMbuso [B 16 – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-75) – (iKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezobulungiswa kanye Nokuhlunyeleliswa Kwezimilo – iNdlu yesiShayamthetho sikaZwelonke).,August
"Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76) – (Select Committee on Cooperative Governance and Traditional Affairs, Water and Sanitation and Human Settlements – National Council of Provinces).","Ohulumeni Basekhaya: Isichibiyelo soMthethosivivinywa Wezinhlaka zoMasipala [B 19B – 2018] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-76) – (iKomidi loKhandlu kaZwelonke Wezifundazwe elibhekele Ezokubusa ngokubambisana kanye Nezindaba Zendabuko, Ezamanzi kanye Nokuthuthwa Kwendle Nokuhlaliswa Kwabantu – uMkhandlu kaZwelonke Wezifundazwe).",August
South African Reserve Bank Bill [B 26 – 2018] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Isichibiyelo soMthethosivivinywa Webhangengodla laseNingizimu Afrika [B 26 – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-75) – (iKomidi Elingaguquki elibhekele Ezezimali – iNdlu yesiShayamthetho sikaZwelonke).,August
"National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76) – (Select Committee on Trade and Industry, Economic Development, Small Business Development, Tourism, Labour and Employment – National Council of Provinces).","Isichibiyelo soMthethosivivinywa WezokuGembula kuZwelonke [B 27B – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-76) – (iKomidi loMkhandlu kaZwelonke elibhekele Ezokuhweba kanye Nezimboni, Ukuthuthukiswa Kwamabhizinisi Amancane, Ezokuvakasha, Ezokuqashwa kanye Nezabasebenzi – uMkhandlu kaZwelonke Wezifundazwe).",August
National Health Amendment Bill [B 29 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,Isichibiyelo soMthethosivivinywa Wezempilo kaZwelonke [B 29 – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-76) – (iKomidi lesiShayamthetho sikaZwelonke elibhekele Ezempilo – iNdlu yesiShayamthetho).,August
Public Finance Management Amendment Bill [B 41  2018] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Isichibiyelo soMthethosivivinywa Wokulawulwa Kwezimali Zikahulumeni [B 41 2018] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-76) – (IKomidi Elingaguquki elibhekele Ezezimali – iNdlu yesiShayamthetho sikaZwelonke.,August
Civil Aviation Amendment Bill [B 44 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Isichibiyelo soMthethosivivinywa WeziNdiza Zomphakathi [B 44 – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-75) (iKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezokuthutha – iNdlu yesiShayamthetho sikaZwelonke) – ((iKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezokuthutha – iNdlu yesiShayamthetho sikaZwelonke).,August
Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (National Assembly – sec 76) – (Portfolio Committee Cooperative Government and Traditional Affairs – National Assembly).,Ohulumeni Basekhaya: Isichibiyelo soMthethosivivinywa Wezindlela ZoMasipala Zokwenza Izinto [B 2 – 2019] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-76) – (iKomidi leNdlu yesiShayamththo sikaZwelonke elibhekele EzokuBusa NgokuBambisana kanye NeziNdaba zeNdabuko – iNdlu yesiShaymthetho sikaZwelonke).,August
National Health Insurance Bill [B 11 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,UMthethosivivinywa woMshwalense kaZwelonke Wezempilo [B 11 - 2019] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-76) – (IKomidi LeSishayamthetho elibhekele Ezempilo – iNdlu yesiShayamthetho sikaZwelonke).,August
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,ISichibiyelo SoMthethosivivinywa Owamukela Imishado Yesintu [B 12 - 2019] (iSishayamthetho SikaZwelonke – isigaba 76) – (IKomidi loMkhandlu kaZwelonke Wezifundazwe elibhekele Ezokuphepha kanye Nobulungiswa – uMkhandlu kaZwelonke Wezifundazwe).,August
Independent Electricity Management Operator Bill [B 14 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Mineral Resources and Energy – National Assembly).,UMthethosivivinywaIndependent Wokuphathwa kokusetshenziswa Kogesi [B 14 - 2019] (isiShayamthetho sikaZwelonke–isig 76) – (iKomidi lesiShayamthetho sikaZwelonke elibhelele Ezezimbiwa kanye neZamandla – isiShayamthetho sikaZwelonke).,August
