eng,afr,source
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s fourth quarter financial and non-financial performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 25 June 2020, p 5).","Oorweging van Verslag van Portefeuljekomitee oor Handel en Nywerheid oor Departments of Trade and Industry and of Economic Development’s fourth quarter financial and non-financial performance for 2019/20 financial year (Aankondigings, Tertafelleggings en Komiteeverslae, 25 Junie 2020, bl 5).",August
"Consideration of Report of Joint Standing Committee on Defence on Letters from the President on Employment of South African National Defence Force in Mozambique Channel, Democratic Republic of Congo, to Wuhan City in Hubei Province of People’s Republic of China, and in support of South African Police Service and other State Departments (Announcements, Tablings and Committee Reports, 19 June 2020, p 3).","Oorweging van Verslag van Gesamentlike Staande Komitee oor Verdediging oor Letters from the President on Employment of South African National Defence Force in Mozambique Channel, Democratic Republic of Congo, to Wuhan City in Hubei Province of People’s Republic of China, and in support of South African Police Service and other State Departments (Aankondigings, Tertafelleggings en Komiteeverslae, 19 Junie 2020, bl 3).",August
"Consideration of Report of Portfolio Committee on Employment and Labour on Second Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 120).","Oorweging van Verslag van Portefeuljekomitee oor Indiensneming en Arbeid oor Second Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Aankondigings, Tertafelleggings en Komiteeverslae, 18 Junie 2020, bl 120).",August
"Consideration of Report of Portfolio Committee on Employment and Labour on First Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 81).","Oorweging van Verslag van Portefeuljekomitee oor Indiensneming en Arbeid oor First Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Aankondigings, Tertafelleggings en Komiteeverslae, 18 Junie 2020, bl 81).",August
"Consideration of Report of Portfolio Committee on Employment and Labour on Third Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2018/19 (Announcements, Tablings and Committee Reports, 18 June 2020, p 12).","Oorweging van Verslag van Portefeuljekomitee oor Indiensneming en Arbeid oor Third Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2018/19 (Aankondigings, Tertafelleggings en Komiteeverslae, 18 Junie 2020, bl 12).",August
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Third Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 19 May 2020, p 3).","Oorweging van Verslag van Portefeuljekomitee oor Handel en Nywerheid oor Departments of Trade and Industry and of Economic Development’s Third Quarter Financial and Non-financial Performance for 2019/20 financial year (Aankondigings, Tertafelleggings en Komiteeverslae, 19 Mei 2020, bl 3).",August
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on Oversight visit on pilot project for acquisition of office accommodation for South African Permanent Mission to United Nations and Consulate-General in New York, United States of America (Announcements, Tablings and Committee Reports, 16 March 2020, p 11).","Oorweging van Verslag van Portefeuljekomitee oor Internasionale Betrekkinge en Samewerking oor Oversight visit on pilot project for acquisition of office accommodation for South African Permanent Mission to United Nations and Consulate-General in New York, United States of America (Aankondigings, Tertafelleggings en Komiteeverslae, 16 Maart 2020, bl 11).",August
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","Besluit oor Vraag oor Verslag van Portefeuljekomitee oor Hoër Onderwys, Wetenskap en Tegnologie oor 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Aankondigings, Tertafelleggings en Komiteeverslae, 5 Desember 2019, bl 64).",August
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department Public Service and Administration, Entities and Public Service Commission (Announcements, Tablings and Committee Reports, 11 March 2020, p 30).","Oorweging van Verslag van Portefeuljekomitee oor Staatsdiens en Administrasie oor Second and Third quarter performance of 2019/20 financial year: Department Public Service and Administration, Entities and Public Service Commission (Aankondigings, Tertafelleggings en Komiteeverslae, 11 Maart 2020, bl 30).",August
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 23).","Oorweging van Verslag van Portefeuljekomitee oor Staatsdiens en Administrasie oor Second and Third quarter performance of 2019/20 financial year: Statistics South Africa (Aankondigings, Tertafelleggings en Komiteeverslae, 11 Maart 2020, bl 23).",August
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 15).","Oorweging van Verslag van Portefeuljekomitee oor Staatsdiens en Administrasie oor Second and Third quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Aankondigings, Tertafelleggings en Komiteeverslae, 11 Maart 2020, bl 15).",August
"Consideration of Report of Portfolio Committee on Basic Education on Submission from Griqua People’s Heritage on lack of a Primary School (Announcements, Tablings and Committee Reports, 11 February 2020, p 5).","Oorweging van Verslag van Portefeuljekomitee oor Basiese Onderwys oor Submission from the Griqua People’s Heritage on the lack of a Primary School (Aankondigings, Tertafelleggings en Komiteeverslae, 11 Februarie 2020, bl 5).",August
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Announcements, Tablings and Committee Reports, 9 December 2019, p 20).","Oorweging van Verslag van Gesamentlike Staande Komitee oor Finansiële Bestuur van Parlement oor Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Aankondigings, Tertafelleggings en Komiteeverslae, 9 Desember 2019, bl 20).",August
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2018/19 Annual Report (Announcements, Tablings and Committee Reports, 9 December 2019, p 5).","Oorweging van Verslag van Gesamentlike Staande Komitee oor Finansiële Bestuur van Parlement oor Parliament of Republic of South Africa’s 2018/19 Annual Report (Aankondigings, Tertafelleggings en Komiteeverslae, 9 Desember 2019, bl 5).",August
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Announcements, Tablings and Committee Reports, 5 December 2019, p 24).","Oorweging van Verslag van Portefeuljekomitee oor Hoër Onderwys, Wetenskap en Tegnologie oor 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Aankondigings, Tertafelleggings en Komiteeverslae, 5 Desember 2019, bl 24).",August
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 5 December 2019, p 4).","Oorweging van Verslag van Portefeuljekomitee oor Handel en Nywerheid oor Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Aankondigings, Tertafelleggings en Komiteeverslae, 5 Desember 2019, bl 4).",August
"Consideration of Report of Standing Committee on Auditor-General on Integrated Annual Report of Auditor-General for financial year 2018/19 (Announcements, Tablings and Committee Reports, 4 December 2019, p 3).","Oorweging van Verslag van Staande Komitee oor Ouditeur-generaal oor Integrated Annual Report of Auditor-General for financial year 2018/19 (Aankondigings, Tertafelleggings en Komiteeverslae, 4 Desember 2019, bl 3).",August
MOTIONS (Notice given previously):,VOORSTELLE (Kennis voorheen gegee):,August
See p 192 (Mr K J Mileham) p 202 (Ms D Kohler) p 309 (Mr N F Shivambu).,Kyk bl 192 (mnr K J Mileham) bl 202 (me D Kohler) bl 309 (mnr N F Shivambu).,August
APPENDIXES,AANHANGSELS,August
PETITIONS REFERRED TO COMMITTEES,PETISIES NA KOMITEES VERWYS,August
"Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",August
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).","Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritise the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portefeuljekomitee oor Polisie – Nasionale Vergadering).",August
"Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",August
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portfolio Committee on Human Settlements, Water and Sanitation – National Assembly).","Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portefeuljekomitee oor Menslike Nedersettings, Water en Sanitasie – Nasionale Vergadering).",August
"Petition from the residents of Jamestown, Stellenbosch, calling on the Assembly to investigate the transfer, by Eskom, of management powers over the electricity network in Jamestown to Stellenbosch municipality (Dr L Shreiber) – (Portfolio Committee on Public Enterprises -  National Assembly).","Petition from the residents of Jamestown, Stellenbosch, calling on the Assembly to investigate the transfer, by Eskom, of management powers over the electricity network in Jamestown to Stellenbosch municipality (Dr L Shreiber) – (Portefeuljekomitee oor Openbare Ondernemings - Nasionale Vergadering).",August
"Petition from the residents of Germiston, Ekurhuleni, calling on the Assembly to investigate power outages in Germiston (Ms M Clarke) – (Portfolio Committee on Cooperative Governance and Traditional Affairs - National Assembly).","Petition from the residents of Germiston, Ekurhuleni, calling on the Assembly to investigate power outages in Germiston (Ms M Clarke) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake - Nasionale Vergadering).",August
"Petition from the residents of Letsitele Town, Ward 23, Tzaneen, calling on the Assembly to ensure that the Tzaneen municipality abides by the laws, by-laws and regulations, and that it implements the prescribed environmental and applicable zoning, as well as monitor and halt all illegal activities (Ms D van der Walt) – (Portfolio Committee on Cooperative Governance and Traditional Affairs - National Assembly).","Petition from the residents of Letsitele Town, Ward 23, Tzaneen, calling on the Assembly to ensure that the Tzaneen municipality abides by the laws, by-laws and regulations, and that it implements the prescribed environmental and applicable zoning, as well as monitor and halt all illegal activities (Ms D van der Walt) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",August
"Petition from the farmers and the community of Tzaneen, Limpopo, represented by AGRI Letaba, calling on the Assembly to investigate severe electricity outages, power dips, low voltage and poor to no maintenance since 2016 as a result of the failure of the Greater Tzaneen Municipality (Ms D van der Walt) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Petition from the farmers and the community of Tzaneen, Limpopo, represented by AGRI Letaba, calling on the Assembly to investigate severe electricity outages, power dips, low voltage and poor to no maintenance since 2016 as a result of the failure of the Greater Tzaneen Municipality (Ms D van der Walt) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",August
BILLS REFERRED TO JOINT TAGGING MECHANISM (JTM),WETSONTWERPE NA GESAMENTLIKE KLASSIFISERINGS MEGANISME TAGGING MECHANISM (GKM) VERWYS,August
Financial Sector Laws Amendment Bill [B 15 - 2020] (National Assembly – proposed sec 75).,Financial Sector Laws Amendment Bill [B 15 - 2020] (Nasionale Vergadering – voorgestelde art 75).,August
BILLS REFERRED TO COMMITTEES,WETSONTWERPE NA KOMITEES VERWYS,August
"Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 7) – (Portfolio Committee on Justice and Correctional Services – National Assembly).","Protection of State Information Bill [B 6H – 2010] (Nasionale Vergadering – art 75) en die President se voorbehoude oor die grondwetlikheid van die wetsontwerp soos aan hom voorgelê (Aankondigings, Tertafelleggings en Komiteeverslae, 12 Junie 2020, bl 7) – (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering).",August
"Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 2) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","Liquor Products Amendment Bill [B 10B – 2016] (Nasionale Vergadering – art 75) en die President se voorbehoude oor die grondwetlikheid van die wetsontwerp soos aan hom voorgelê (Aankondigings, Tertafelleggings en Komiteeverslae, 12 Junie 2020, bl 2) – (Portefeuljekomitee oor Landbou, Grondhervorming en Landelike Ontwikkeling – Nasionale Vergadering).",August
"Performers’ Protection Amendment Bill [B 24B - 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 22 June 2020, p 2) – (Portfolio Committee on Trade and Industry – National Assembly).","Performers’ Protection Amendment Bill [B 24B – 2016] (Nasionale Vergadering – art 75) en die President se voorbehoude oor die grondwetlikheid van die wetsontwerp soos aan hom voorgelê (Aankondigings, Tertafelleggings en Komiteeverslae, 22 Junie 2020, bl 2) – (Portefeuljekomitee oor Handel en Nywerheid – Nasionale Vergadering).",August
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Traditional Courts Bill [B 1B – 2017] (Nasionale Vergadering – art 76) – (Gekose Komitee oor Veiligheid en Justisie – Nasionale Raad van Provinsies).,August
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) (introduced as Cybercrimes and Cybersecurity Bill [B 6 – 2017]) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Cybercrimes Bill [B 6B – 2017] (Nasionale Vergadering – art 75) (voorgelê as Cybercrimes and Cybersecurity Bill [B 6 – 2017]) – (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering).,August
"Copyright Amendment Bill [B 13B - 2017] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 22 June 2020, p 2) – (Portfolio Committee Trade and Industry – National Assembly).","Copyright Amendment Bill [B 13B – 2017] (Nasionale Vergadering – art 75) en die President se voorbehoude oor die grondwetlikheid van die wetsontwerp soos aan hom voorgelê (Aankondigings, Tertafelleggings en Komiteeverslae, 22 Junie 2020, bl 2) – (Portefeuljekomitee oor Handel en Nywerheid – Nasionale Vergadering).",August
Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Road Accident Benefit Scheme Bill [B 17B – 2017] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Vervoer – Nasionale Vergadering).,August
International Crimes Bill [B 37 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,International Crimes Bill [B 37 – 2017] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering).,August
"Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Airports Company Amendment Bill [B 5B – 2018] (Nasionale Vergadering – art 75) – (Gekose Komitee oor Vervoer, Staatsdiens en Administrasie, Openbare Werke en Infrastruktuur – Nasionale Raad van Provinsies).",August
"Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (Nasionale Vergadering – art 75) – (Gekose Komitee oor Vervoer, Staatsdiens en Administrasie, Openbare Werke en Infrastruktuur – Nasionale Raad van Provinsies).",August
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76) – (Select Committee on Health and Social Services – National Council of Provinces).,Social Assistance Amendment Bill [B 8B – 2018] (Nasionale Vergadering – art 76) – (Gekose Komitee oor Gesondheid en Maatskaplike Dienste – Nasionale Raad van Provinsies).,August
Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering).,August
State Liability Amendment Bill [B 16 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,State Liability Amendment Bill [B 16 – 2018] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering).,August
"Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76) – (Select Committee on Cooperative Governance and Traditional Affairs, Water and Sanitation and Human Settlements – National Council of Provinces).","Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (Nasionale Vergadering – art 76) – (Gekose Komitee oor Samewerkende Regering en Tradisionele Sake, Water en Sanitasie en Menslike Nedersettings – Nasionale Raad van Provinsies).",August
South African Reserve Bank Bill [B 26 – 2018] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,South African Reserve Bank Bill [B 26 – 2018] (Nasionale Vergadering – art 75) – (Staande Komitee oor Finansies – Nasionale Vergadering).,August
"National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76) – (Select Committee on Trade and Industry, Economic Development, Small Business Development, Tourism, Labour and Employment – National Council of Provinces).","National Gambling Amendment Bill [B 27B – 2018] (Nasionale Vergadering – art 76) – (Gekose Komitee oor Handel en Nywerheid, Ekonomiese Ontwikkeling, Kleinsakeontwikkeling, Toerisme, Arbeid en Indiensneming – Nasionale Raad van Provinsies).",August
National Health Amendment Bill [B 29 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,National Health Amendment Bill [B 29 – 2018] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Gesondheid – Nasionale Vergadering).,August
Public Finance Management Amendment Bill [B 41  2018] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Public Finance Management Amendment Bill [B 41 – 2018] (Nasionale Vergadering – art 76) – (Staande Komitee oor Finansies – Nasionale Vergadering).,August
Civil Aviation Amendment Bill [B 44 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Civil Aviation Amendment Bill [B 44 – 2018] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Vervoer – Nasionale Vergadering).,August
Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (National Assembly – sec 76) – (Portfolio Committee Cooperative Government and Traditional Affairs – National Assembly).,Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).,August
National Health Insurance Bill [B 11 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,National Health Insurance Bill [B 11 – 2019] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Gesondheid – Nasionale Vergadering).,August
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Recognition of Customary Marriages Amendment Bill [B 12 – 2019] (Nasionale Vergadering – art 76) – (Gekose Komitee oor Veiligheid en Justisie – Nasionale Raad van Provinsies).,August
Independent Electricity Management Operator Bill [B 14 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Mineral Resources and Energy – National Assembly).,Independent Electricity Management Operator Bill [B 14 – 2019] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Minerale Hulpbronne en Energie – Nasionale Vergadering).,August
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B – 2019] (Nasionale Vergadering – art 75) – (Gekose Komitee oor Veiligheid en Justisie – Nasionale Raad van Provinsies).,August
Economic Regulation of Transport Bill [B 1 - 2020] (National Assembly– sec 76) – (Portfolio Committee on Transport – National Assembly).,Economic Regulation of Transport Bill [B 1 – 2020] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Vervoer – Nasionale Vergadering).,August
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Auditing Profession Amendment Bill [B 2 – 2020] (Nasionale Vergadering – art 75) – (Staande Komitee oor Finansies – Nasionale Vergadering).,August
Fiscal Responsibility Bill [B 5 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Fiscal Responsibility Bill [B 5 – 2020] (Nasionale Vergadering – art 76) – (Staande Komitee oor Finansies – Nasionale Vergadering).,August
"Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly) [Referred to National House of Traditional Leaders on 3 July 2020].","Upgrading of Land Tenure Rights Amendment Bill [B 6 – 2020] (Nasionale Vergadering –art 76) – (Portefeuljekomitee oor Landbou, Grondhervorming en Landelike Ontwikkeling – Nasionale Vergadering). [Verwys na Nasionale Huis van Tradisionele Leiers op 3 Julie 2020].",August
National Road Traffic Amendment Bill [B 7 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Transport – National Assembly).,National Road Traffic Amendment Bill [B 7 – 2020] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Vervoer – Nasionale Vergadering).,August
Transport Appeal Tribunal Amendment Bill [B 8 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Transport – National Assembly).,Transport Appeal Tribunal Amendment Bill [B 8 – 2020] (Nasionale Vergadering –art 76) – (Portefeuljekomitee oor Vervoer – Nasionale Vergadering).,August
Disaster Management Tax Relief Bill [B 11 - 2020] (National Assembly – sec 77) – (Standing Committee on Finance - National Assembly).,Disaster Management Tax Relief Bill [B 11 – 2020] (Nasionale Vergadering – art 77) – (Staande Komitee oor Finansies – Nasionale Vergadering).,August
Disaster Management Tax Relief Administration Bill [B 12 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance - National Assembly).,Disaster Management Tax Relief Administration Bill [B 12 – 2020] (Nasionale Vergadering – art 75) – (Staande Komitee oor Finansies – Nasionale Vergadering).,August
Public Finance Management Amendment Bill [B 13 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance - National Assembly).,Public Finance Management Amendment Bill [B 13 - 2020] (Nasionale Vergadering – art 76) – (Staande Komitee oor Finansies - Nasionale Vergadering).,August
Employment Equity Amendment Bill [B 14 - 2020] (National Assembly – sec 75) – (Portfolio Committee on Employment and Labour – National Assembly).,Employment Equity Amendment Bill [B 14 - 2020] (Nasionale Vergadering –art 75) – (Portefeuljekomitee oor Indiensneming en Arbeid – Nasionale Vergadering).,August
Financial Sector Laws Amendment Bill [B 15 - 2020] (National Assembly – proposed sec 75) – (Standing Committee on Finance - National Assembly).,Financial Sector Laws Amendment Bill [B 15 - 2020] (Nasionale Vergadering – voorgestelde art 75) – (Staande Komitee oor Finansies - Nasionale Vergadering).,August
BILLS RETURNED TO ASSEMBLY FOR CONSIDERATION OF PRESIDENT’S RESERVATIONS,WETSONTWERPE TERUGGESTUUR NA NASIONALE VERGADERING TER OORWEGING WEENS PRESIDENT SE VOORBEHOUDE,August
Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75).,Protection of State Information Bill [B 6H – 2010] (Nasionale Vergadering – art 75).,August
Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75).,Liquor Products Amendment Bill [B 10B – 2016] (Nasionale Vergadering – art 75).,August
Performers’ Protection Amendment Bill [B24B - 2016] (National Assembly – sec 75).,Performers’ Protection Amendment Bill [B24B – 2016] (Nasionale Vergadering – art 75).,August
Copyright Amendment Bill [B13B - 2017] (National Assembly – sec 75).,Copyright Amendment Bill [B13B - 2017] (Nasionale Vergadering – art 75).,August
"BILLS, SUBJECT TO PROPOSED AMENDMENTS, PASSED BY NATIONAL COUNCIL OF PROVINCES AND RETURNED TO NATIONAL ASSEMBLY FOR CONCURRENCE","WETSONTWERPE, ONDERWORPE AAN VOORGESTELDE WYSIGINGS, DEUR NASIONALE RAAD VAN PROVINSIES GOEDGEKEUR EN NA NASIONALE VERGADERING TERUGGESTUUR VIR INSTEMMING",August
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) (introduced as Cybercrimes and Cybersecurity Bill [B 6 – 2017]).,Cybercrimes Bill [B 6B – 2017] (Nasionale Vergadering – art 75) (voorgestel as Cybercrimes and Cybersecurity Bill [B 6 – 2017]).,August
BILLS PASSED BY NATIONAL ASSEMBLY AND TRANSMITTED TO NATIONAL COUNCIL OF PROVINCES FOR CONCURRENCE,WETSONTWERPE DEUR NASIONALE VERGADERING GOEDGEKEUR EN NA NASIONALE RAAD VAN PROVINSIES GESTUUR VIR INSTEMMING,August
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76).,Traditional Courts Bill [B 1B – 2017] (Nasionale Vergadering – art 76).,August
Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75).,Airports Company Amendment Bill [B 5B – 2018] (Nasionale Vergadering – art 75).,August
Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75).,Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (Nasionale Vergadering – art 75).,August
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76).,Social Assistance Amendment Bill [B 8B – 2018] (Nasionale Vergadering – art 76).,August
Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76).,Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (Nasionale Vergadering – art 76).,August
National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76).,National Gambling Amendment Bill [B 27B – 2018] Nasionale Vergadering – art 76).,August
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76).,Recognition of Customary Marriages Amendment Bill [B 12 – 2019] (Nasionale Vergadering – art 76).,August
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75).,Judicial Matters Amendment Bill [B 13B – 2019] (Nasionale Vergadering – art 75).,August
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75).,Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B – 2019] (Nasionale Vergadering – art 75).,August
INTERNATIONAL AGREEMENTS,INTERNASIONALE OOREENKOMSTE,August
